item_slug,tag_slug
mentaiko,spicy
mentaiko,souvenir_non_confection
tarako,souvenir_non_confection
nori-no-tsukudani,soy_sauce
ajitsuke-nori,soy_sauce
ajitsuke-nori,souvenir_non_confection
natto,fermented
hikiwari-natto,fermented
ika-no-shiokara,fermented
saba-no-shiokara,fermented
nametake,soy_sauce
tamago-kake-gohan,egg
shoga-no-tsukudani,soy_sauce
chirimen-sansho,soy_sauce
chirimen-sansho,souvenir_non_confection
konbu-no-tsukudani,soy_sauce
konbu-no-tsukudani,kelp
katsuobushi,smoked
katsuobushi,fermented
ikura-shoyu-zuke,soy_sauce
miso-shiru,miso
