slug,name_ja,name_romaji,name_en,origin_pref,origin_city,lat,lng,primary_style,type,summary_ja,summary_en,source_title,source_url,source_publisher,source_accessed_at
mentaiko,明太子,Mentaiko,Mentaiko — chili-marinated pollock roe,,,,,,ingredient,たらこを唐辛子だれに漬け込んだ加工品で、粒のはじける食感と塩気・辛味が白飯によく合うとされる。博多で戦後に広まったと伝わり、贈答用から家庭用まで幅広く流通している。,"Pollock roe cured in a chili marinade, its popping texture and heat said to pair naturally with plain rice. It's said to have spread from postwar Hakata and today ranges from gift boxes to everyday packs.",会社沿革｜味の明太子ふくや,https://www.fukuya.com/company/history/,株式会社ふくや,2026-09-10
tarako,たらこ,Tarako,Tarako — salted pollock roe,,,,,,ingredient,すけとうだらの卵巣を塩漬けにした加工品で、辛子明太子のもとになった素材でもある。ほのかな塩気と粒のはじける食感を活かし、焼いてもそのままでも白飯に添えられる、和食全般で使われる定番の食材とされる。,"Walleye pollock roe cured in salt alone — the base ingredient behind karashi mentaiko. Its mild saltiness and popping texture come through whether eaten raw or grilled, alongside rice.",たらこ,https://ja.wikipedia.org/wiki/%E3%81%9F%E3%82%89%E3%81%93,Wikipedia,2026-09-10
nori-no-tsukudani,海苔の佃煮,Nori no Tsukudani,Nori tsukudani — nori simmered dark in soy sauce,,,,,,ingredient,刻んだ海苔を醤油とみりんで汁気がなくなるまで煮詰めた保存食で、とろりとした照りと磯の香りが特徴とされる。少量でご飯によく絡み、瓶詰めにして常温で長く常備できる、佃煮の中でも定番の型のひとつという。,"Chopped nori simmered down slick in soy sauce and mirin, said to carry a glossy sheen and strong sea aroma. A small spoonful clings to rice, and jarred, it keeps for a long time.",佃煮 東京都｜うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/34_25_tokyo.html,農林水産省,2026-09-10
ajitsuke-nori,味付け海苔,Ajitsuke Nori,Ajitsuke nori — sweet-soy seasoned toasted nori,東京都,中央区（日本橋）,35.6852,139.7745,,ingredient,板海苔に醤油と砂糖ベースの味付けをして焼き上げた加工品で、明治期に京都行幸の土産として考案されたと伝わる。パリパリとした食感の中で味と香りが一気に広がり、とくに関西でよく使われる海苔の型という。,"Sheet nori brushed with a soy-and-sugar seasoning and toasted crisp, said to have been devised as a gift for an imperial visit to Kyoto in the Meiji era. Its snap gives way to a burst of flavor and aroma.",味付け海苔,https://ja.wikipedia.org/wiki/%E5%91%B3%E4%BB%98%E3%81%91%E6%B5%B7%E8%8B%94,Wikipedia,2026-09-10
natto,納豆,Natto,Natto — fermented soybeans,,,,,,ingredient,蒸した大豆を納豆菌で発酵させた保存食で、糸引きの粘りと独特の香りが特徴とされる。関東以北で古くから親しまれ、水戸や仙台など複数の産地がそれぞれの型を伝えている。,"Steamed soybeans fermented with natto bacteria, known for their sticky threads and distinctive aroma. Long popular across Kanto and points north, with producing areas like Mito and Sendai each carrying their own version.",納豆（なっとう）茨城県｜にっぽん伝統食図鑑,https://www.maff.go.jp/j/keikaku/syokubunka/traditional-foods/menu/natto_ibaraki.html,農林水産省,2026-09-10
hikiwari-natto,挽き割り納豆,Hikiwari Natto,"Hikiwari natto — crushed, skinned soybeans fermented into natto",,,,,,ingredient,大豆を砕いて表皮を除いてから発酵させる納豆の型で、丸大豆納豆よりなめらかな舌触りを持つとされる。青森・秋田・岩手などで江戸時代以前から作られてきたと伝わる、糸引き納豆の中の一つの型である。,"A style of natto made from soybeans crushed and skinned before fermenting, said to feel smoother on the tongue than whole-bean natto. It's said to have been made in Aomori, Akita, and Iwate since before the Edo period.",糸引き納豆にはどんな種類がありますか？｜納豆百科事典,https://www.natto.or.jp/hyakka/ped_natto08.html,全国納豆協同組合連合会,2026-09-10
sake-flake,鮭フレーク（焼き鮭ほぐし）,Sake Flake,Sake flake — flaked grilled salmon,,,,,,ingredient,焼いた鮭の身をほぐして作る保存食で、瓶やパウチに詰めて常備される。骨や皮を除いた食べやすさから、ご飯に混ぜたりのせたりして手軽に使われる、忙しい朝にも重宝される一品とされる。,"Grilled salmon flesh flaked apart and kept jarred or pouched on the shelf. With the bones and skin already removed, it's an easy way to top or mix into rice.",鮭とば（さけとば）北海道｜にっぽん伝統食図鑑,https://www.maff.go.jp/j/keikaku/syokubunka/traditional-foods/menu/saketoba.html,農林水産省,2026-09-10
ika-no-shiokara,いかの塩辛,Ika no Shiokara,"Ika no shiokara — salted, fermented squid",,,,,,ingredient,いかの身とわたを塩で漬け込んで発酵させた珍味で、強い塩気の中に旨味が凝縮されているとされる。製法によって赤作り・白作り・黒作りなどの型があり、地域や好みに応じて選び分けられているという。,"Squid flesh and innards salted together and left to ferment, its heavy salt said to hold concentrated umami. Depending on the method, there are named types like aka-zukuri, shiro-zukuri, and kuro-zukuri.",塩辛（しおから）宮城県｜にっぽん伝統食図鑑,https://www.maff.go.jp/j/keikaku/syokubunka/traditional-foods/menu/siokara.html,農林水産省,2026-09-10
saba-no-shiokara,鯖の塩辛,Saba no Shiokara,"Saba no shiokara — salted, fermented mackerel",島根県,松江市美保関町,35.561,133.326,,ingredient,頭を落とした鯖を内臓ごと塩漬けにして発酵させた島根・美保関の珍味で、強い塩気の中に旨味が増していくとされる。かつては傷みやすい鯖を長く保存する漁師の知恵だったという。,"Beheaded mackerel, salted with the innards still in and left to ferment — a specialty of Mihonoseki, Shimane, its salt said to give way to deepening umami. It's said to have started as a fisherman's way to keep mackerel, a fish famous for spoiling fast.",さばの塩辛（さばのしおから）島根県｜にっぽん伝統食図鑑,https://www.maff.go.jp/j/keikaku/syokubunka/traditional-foods/menu/sabano_siokara.html,農林水産省,2026-09-10
nametake,なめたけ,Nametake,Nametake — enoki mushrooms simmered in soy sauce,,,,,,ingredient,瓶栽培したえのきたけを醤油・酒・みりんでとろみが出るまで煮詰めた加工品で、しんなりとした歯ざわりと甘辛い味付けが特徴とされる。大根おろしと和えてご飯に添えられることも多い。,"Enoki mushrooms, grown in bottles and simmered in soy sauce, sake, and mirin until thick, known for a soft bite under a sweet-salty finish. It's often mixed with grated daikon before eating.",エノキタケ,https://ja.wikipedia.org/wiki/%E3%82%A8%E3%83%8E%E3%82%AD%E3%82%BF%E3%82%B1,Wikipedia,2026-09-10
