item_slug,pref,city,lat,lng,relation_type,note_ja,note_en,source_url,source_title,source_publisher,source_accessed_at
mentaiko,福岡県,福岡市博多区,33.5926,130.4088,本場,1948年に「ふくや」が創業し、翌1949年にこの地で辛子明太子の製造・販売を始めたのが今日の明太子の起こりとされる。,"Fukuya was founded here in 1948, and the following year began making and selling karashi mentaiko — said to be the origin of the mentaiko eaten today.",https://www.fukuya.com/company/history/,,,
mentaiko,福岡県,福岡市東区,33.6089,130.4203,本場,博多港に近いこの一帯には「かねふく」など明太子メーカーの本社・工場が集まり、冷凍原料の輸入から製造までを担う一大生産集積地になっているという。,"Close to Hakata Port, this district is home to the headquarters and factories of makers like Kanefuku, forming a production cluster that handles everything from importing frozen roe to finished mentaiko.",https://www.kanefuku.co.jp/history/,,,
tarako,北海道,白老町（虎杖浜）,42.5686,141.3597,名産地,日本屈指のたらこ加工地とされ、「虎杖浜たらこ」は地域団体商標として登録されているという。,"Considered one of Japan's leading tarako-processing areas, the name 'Kojohama tarako' is registered as a regional collective trademark.",https://ja.wikipedia.org/wiki/%E3%81%9F%E3%82%89%E3%81%93,,,
tarako,宮城県,石巻市,38.4342,141.3033,名産地,遠洋漁業の基地である石巻漁港周辺に水産加工品業者が多数立地し、かつてはたらこ加工生産量日本一の町だったとされる。,"Around Ishinomaki's fishing port, a base for deep-sea fishing, many seafood processors clustered — the town was once said to lead Japan in tarako output.",https://ja.wikipedia.org/wiki/%E3%81%9F%E3%82%89%E3%81%93,,,
natto,茨城県,水戸市,36.3418,140.4468,本場,早生大豆は粒が小さく醤油・味噌の加工には向かなかったため納豆に回されたとされ、1889年の鉄道開通で駅売り土産となったことが産地として広まる契機になったという。,"Small early-ripening soybeans, ill-suited to soy sauce or miso, are said to have gone into natto instead, and the town's fame as a producing area is said to trace to 1889, when the railway arrived and natto became a platform souvenir.",https://www.maff.go.jp/j/keikaku/syokubunka/traditional-foods/menu/natto_ibaraki.html,,,
natto,宮城県,仙台市,38.2682,140.8694,本場,宮城県は大豆作付面積が北海道に次ぐ全国2位とされ、1920年に仙台で純粋培養した納豆菌による近代的な製法が確立されたことから、大豆生産と製法両面で産地として知られてきたという。,"Miyagi is said to have the second-largest soybean acreage in Japan after Hokkaido, and in 1920 a modern method using pure-cultured natto bacteria was established in Sendai — giving the region a reputation built on both raw soybeans and production technique.",https://www.maff.go.jp/j/keikaku/syokubunka/traditional-foods/menu/nattou_miyagi.html,,,
furikake,熊本県,熊本市,32.7898,130.7417,名産地,1913年、熊本の薬剤師・吉丸末吉がカルシウム不足を補う工夫として「御飯の友」を考案したのがふりかけの始まりとされる。,"In 1913, a Kumamoto pharmacist named Yoshimaru Suekichi is said to have devised 'Gohan no Tomo' as a way to make up for a calcium shortage — the origin credited for furikake.",https://www.gohannotomo.co.jp/%e4%bc%9a%e7%a4%be%e6%a6%82%e8%a6%81/,,,
katsuobushi,高知県,土佐清水市,32.7797,132.9686,名産地,1600年代半ば、紀州の甚太郎がこの地の宇佐浦で鰹節の燻製法を考案し、土佐の与市が改良して現在に近い製法を完成させたと伝わる、鰹節製法発祥の地とされる。,"In the mid-1600s, a man from Kishu named Jintaro is said to have devised the smoking method here at Usa-ura, later refined by a local named Yoichi into something close to today's process — credited as the birthplace of katsuobushi-making.",http://katsuobushi.or.jp/about.html,,,
katsuobushi,静岡県,焼津市,34.8664,138.32,名産地,遠洋鰹漁の基地を持つ港町で、現在の鰹節生産の主要な集積地のひとつとされる。,"A port town with a deep-sea bonito fishing base, said to be one of the main hubs of katsuobushi production today.",http://katsuobushi.or.jp/about.html,,,
iwanori,島根県,出雲市（十六島）,35.465,132.98,名産地,十六島海苔は古代から続く岩のりの代表的産地とされ、12月から翌年2月にかけて滑り止めの地下足袋を履いた採り手が岩場から手作業で剥ぎ取るという。,"Uppurui-nori is said to be a leading iwanori production area with roots going back to antiquity; from December to February, gatherers in slip-resistant boots pick it off the rock by hand.",https://ja.wikipedia.org/wiki/%E5%B2%A9%E6%B5%B7%E8%8B%94,,,
iwanori,兵庫県,豊岡市（城崎）,35.628,134.813,名産地,城崎海苔は城崎温泉の土産物として江戸時代から知られてきたとされる岩のりの産地という。,Kinosaki-nori is said to be an iwanori-producing area known since the Edo period as a souvenir of Kinosaki Onsen.,https://ja.wikipedia.org/wiki/%E5%B2%A9%E6%B5%B7%E8%8B%94,,,
