item_slug,tag_slug
okonomiyaki,pork
okonomiyaki,egg
okonomiyaki,yoshoku
takoyaki,egg
takoyaki,street_food
takoyaki,handheld
takoyaki,souvenir_non_confection
hiroshima-okonomiyaki,pork
hiroshima-okonomiyaki,egg
fuchu-yaki,beef
fuchu-yaki,pork
kure-yaki,handheld
onomichi-yaki,offal
takehara-yaki,fermented
mihara-yaki,chicken
mihara-yaki,offal
miyoshi-karamen-yaki,spicy
kumano-natto-yaki,fermented
kumano-natto-yaki,egg
akashiyaki,egg
monjayaki,street_food
gyoda-furai,pork
nikuten,beef
tarashi-yaki,miso
oyaki,handheld
oyaki,ceremonial
usu-yaki,street_food
usu-yaki,handheld
hirayachi,ryukyu
hirayachi,egg
jiriyaki,miso
gyuten,egg
funayaki,handheld
