slug,name_ja,name_romaji,name_en,origin_pref,origin_city,lat,lng,primary_style,type,summary_ja,summary_en,source_title,source_url,source_publisher,source_accessed_at
okonomiyaki,お好み焼き,Okonomiyaki,Okonomiyaki — a savory wheat-flour pancake loaded with cabbage and pork,,,,,,dish,だしで溶いた小麦粉の生地にキャベツや豚肉を合わせ、鉄板で焼く料理。大阪では具材を生地に混ぜ、広島では重ねて蒸し焼きにするなど、焼き方そのものが土地ごとに分かれるとされる。,"A savory pancake of wheat-flour batter loaded with cabbage and pork, cooked on a griddle. Osaka mixes everything into the batter before it hits the pan, while Hiroshima layers the ingredients and steams them — the technique itself is said to split by region.",うちの郷土料理：お好み焼き 大阪府,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/39_20_osaka.html,農林水産省,2026-09-08
takoyaki,たこ焼き,Takoyaki,Takoyaki — round griddle-cooked batter balls filled with octopus,大阪府,大阪市,34.6937,135.5023,,dish,だしや卵で溶いた小麦粉の生地をたこ焼き器の丸い穴に流し込み、ぶつ切りのタコを芯にして丸く焼く大阪の軽食。屋台の「ラジオ焼き」からタコを主役にする形へと変わっていったとされる。,"A round snack from Osaka: batter of flour, egg, and dashi poured into a griddle of hemispherical molds and folded around a chunk of octopus. It's said to have taken its present form when a stall snack called radio-yaki swapped in octopus as the main filling.",うちの郷土料理：たこ焼き 大阪府,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/39_15_osaka.html,農林水産省,2026-09-08
hiroshima-okonomiyaki,広島お好み焼き,Hiroshima Okonomiyaki,"Hiroshima-style okonomiyaki — cabbage, pork, and noodles steamed in layers",広島県,広島市,34.3853,132.4553,,dish,薄く延ばした生地の上にキャベツ・豚肉・そばやうどんを山盛りに重ね、蒸し焼きにしてから卵の上に返す広島の重ね焼き。店が暮らしの中に密に根づいており、地元では〆の一品としても食べられている。,"Hiroshima's layered style: a thin batter spread first, then piled high with cabbage, pork, and soba or udon noodles, steamed, and flipped onto a sheet of egg. The prefecture is said to have more shops per capita than anywhere else in Japan, and locals often eat it as a late-night closer.",うちの郷土料理：お好み焼き 広島県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/42_7_hiroshima.html,農林水産省,2026-09-08
fuchu-yaki,府中焼き,Fuchu-yaki,Fuchu-yaki — Hiroshima-style okonomiyaki with ground meat worked into the batter,広島県,府中市,34.5661,133.2414,,dish,広島県府中市に伝わるお好み焼きの一種で、豚バラ肉の代わりに牛や豚のひき肉を生地に混ぜ込んで焼く。ひき肉が生地全体に広がるため、噛むたびに肉の旨みが感じられるとされる。,"A Fuchu, Hiroshima take on okonomiyaki that swaps sliced pork belly for ground beef or pork worked right into the batter, so the meat's flavor is said to come through evenly in every bite.",うちの郷土料理：お好み焼き 広島県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/42_7_hiroshima.html,農林水産省,2026-09-08
kure-yaki,呉焼き,Kure-yaki,Kure-yaki — Hiroshima-style okonomiyaki folded into a half-moon,広島県,呉市,34.2492,132.5656,,dish,広島県呉市の名物で、広島お好み焼きに地元の細うどんを使い、生地を二つ折りにした半月形に仕上げる。造船所の職工が休憩時間に手早く食べられるようにという理由から生まれたとされる。,"A Kure, Hiroshima specialty that uses the city's thin local udon in an okonomiyaki folded into a half-moon, said to have taken that shape so shipyard workers could eat it quickly on a break.",うちの郷土料理：お好み焼き 広島県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/42_7_hiroshima.html,農林水産省,2026-09-08
shobara-yaki,庄原焼き,Shobara-yaki,Shobara-yaki — Hiroshima-style okonomiyaki with rice instead of noodles,広島県,庄原市,34.8564,133.0183,,dish,広島県庄原市のお好み焼きで、麺の代わりに庄原産の米を使い、ソースの代わりにポン酢で食べる。稲作が盛んな内陸の土地柄が、海側の重ね焼きとは違う味付けを育てたとされる。,"An okonomiyaki from inland Shobara, Hiroshima, that swaps the usual noodles for local rice and the usual sauce for ponzu — a rice-growing inland town's answer to the noodle-and-sauce style of the coast.",うちの郷土料理：お好み焼き 広島県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/42_7_hiroshima.html,農林水産省,2026-09-08
onomichi-yaki,尾道焼き,Onomichi-yaki,Onomichi-yaki — Hiroshima-style okonomiyaki with chicken gizzard and fried squid cake,広島県,尾道市,34.4088,133.2051,,dish,広島県尾道市のお好み焼きで、砂肝とイカ天を具に加える。海運と造船で栄えた港町らしく、魚介の練り物と鶏の内臓という組み合わせが土地の食材事情を映しているとされる。,"An Onomichi, Hiroshima okonomiyaki that adds chicken gizzard and a fried squid-paste cake to the usual fillings — a port town's mix of poultry offal and a seafood product, said to reflect what was close at hand.",うちの郷土料理：お好み焼き 広島県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/42_7_hiroshima.html,農林水産省,2026-09-08
takehara-yaki,純米吟醸たけはら焼き,Junmai Ginjo Takehara-yaki,Takehara-yaki — Hiroshima-style okonomiyaki with sake lees kneaded into the batter,広島県,竹原市,34.3406,132.9089,,dish,広島県竹原市の「純米吟醸たけはら焼き」は、生地に酒粕や日本酒を練り込んだお好み焼き。「安芸の小京都」と呼ばれる酒どころならではの発想で、生地そのものに地元の酒蔵の香りをまとわせているとされる。,"Takehara, Hiroshima's ""Junmai Ginjo Takehara-yaki"" kneads sake lees and sake straight into the batter — a sake town's way of carrying its local breweries' aroma into the batter itself.",うちの郷土料理：お好み焼き 広島県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/42_7_hiroshima.html,農林水産省,2026-09-08
mihara-yaki,三原焼き,Mihara-yaki,Mihara-yaki — Hiroshima-style okonomiyaki with chicken giblets,広島県,三原市,34.3966,133.0788,,dish,広島県三原市のお好み焼きは、具に鶏モツを加える。養鶏が盛んだった土地柄から、麺やキャベツに加えてコリコリとした鶏の内臓が層に加わるとされ、噛むごとに違う食感が現れる。,"Mihara, Hiroshima's okonomiyaki adds chicken giblets to the fillings, said to reflect a town where poultry farming once thrived, giving the usual noodle-and-cabbage stack a chewy offal layer too.",うちの郷土料理：お好み焼き 広島県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/42_7_hiroshima.html,農林水産省,2026-09-08
miyoshi-karamen-yaki,三次唐麺焼,Miyoshi Karamen-yaki,Miyoshi Karamen-yaki — Hiroshima-style okonomiyaki with chili-kneaded noodles,広島県,三次市,34.8058,132.8531,,dish,広島県三次市の「三次唐麺焼」は、唐辛子を練り込んだ麺を使う辛口のお好み焼き。内陸の盆地特有の寒暖差が育てた土地の食習慣が、麺そのものに辛さを仕込む型を生んだとされる。,"Miyoshi, Hiroshima's ""Miyoshi Karamen-yaki"" uses noodles kneaded with chili pepper for a spicy okonomiyaki, said to reflect the taste this inland basin town, with its wide swings in temperature, developed for its food.",うちの郷土料理：お好み焼き 広島県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/42_7_hiroshima.html,農林水産省,2026-09-08
kumano-natto-yaki,ふわふわ納豆焼,Fuwafuwa Natto-yaki,Fuwafuwa Natto-yaki — Hiroshima-style okonomiyaki with natto and mountain yam,広島県,熊野町,34.3489,132.5772,,dish,広島県熊野町の「ふわふわ納豆焼」は、お好み焼きの生地に納豆と卵、山芋を加えてふわりと焼き上げる。粘りの強い食材を重ねることで、他の広島焼きにはないやわらかな口当たりが生まれるとされる。,"Kumano-cho, Hiroshima's ""Fuwafuwa Natto-yaki"" folds natto, egg, and grated mountain yam into the okonomiyaki batter for a soft, fluffy result — stacking sticky ingredients for a texture no other Hiroshima-style okonomiyaki has, it's said.",うちの郷土料理：お好み焼き 広島県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/42_7_hiroshima.html,農林水産省,2026-09-08
innoshima-innoko,いんおこ,In-oko,In-oko — an udon-forward Hiroshima-style okonomiyaki from Innoshima,広島県,尾道市（因島）,34.2814,133.1889,,dish,広島県尾道市因島の「いんおこ」は、うどんを主体にしたお好み焼き。造船とかんきつ栽培の島で、麺料理としても軽食としても食べられる、うどん入りが主流の型が定着したとされる。,"""In-oko,"" from Innoshima in Onomichi, Hiroshima, is an okonomiyaki built around udon. On this island of shipbuilding and citrus groves, the udon-forward style is said to have taken hold as something eaten as both a noodle dish and a light meal.",うちの郷土料理：お好み焼き 広島県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/42_7_hiroshima.html,農林水産省,2026-09-08
akashiyaki,明石焼,Akashiyaki,Akashiyaki — egg-rich octopus batter balls dipped in warm dashi,兵庫県,明石市,34.6427,134.9925,,dish,小麦粉とじん粉、卵とだし汁を混ぜた生地でタコを包んで焼き、だし汁につけて食べる明石市の郷土料理。見た目はたこ焼きに似るが、ソースではなくだし汁につける点が大きな違いとされる。,"Octopus folded into a batter of wheat flour, jin-ko starch, egg, and dashi, cooked and dipped in a warm broth — Akashi's own take on the round batter-and-octopus dish, distinguished from takoyaki by that broth in place of sauce.",うちの郷土料理：明石焼／玉子焼 兵庫県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/40_2_hyogo.html,農林水産省,2026-09-08
monjayaki,もんじゃ焼き,Monjayaki,"Monjayaki — a loose, watery batter scraped hot off the griddle with a spatula",東京都,中央区（月島）,35.663,139.7847,,dish,ゆるく水で溶いた小麦粉に具材を混ぜて鉄板で焼き、めいめいの小さなヘラで熱々をすくって食べる東京・月島の料理。子どもが鉄板に文字を書いて遊んだ「文字焼き」がなまって名がついたとされる。,"Wheat flour loosened with plenty of water, mixed with toppings and cooked on a griddle, then scooped up hot with a small individual spatula — a Tsukishima, Tokyo dish said to take its name from moji-yaki, a griddle-writing game kids once played with the same batter.",うちの郷土料理：もんじゃ焼き 東京都,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/34_3_tokyo.html,農林水産省,2026-09-08
gyoda-furai,行田フライ,Gyoda Furai,"Gyoda Furai — a thin griddled wheat-flour crepe, despite its ""fried"" name",埼玉県,行田市,36.14,139.4547,,dish,埼玉県行田市周辺に伝わる「フライ」は、揚げ物ではなく焼き物。水で溶いた小麦粉の生地にネギや豚肉をのせて鉄板で焼く、お好み焼きに似た軽食で、足袋工場で働く女工に広まったとされる。,"""Furai"" from around Gyoda, Saitama, despite its name, isn't fried — it's grilled. Chopped scallion and pork go on a wheat-flour batter cooked on a griddle, an okonomiyaki-like snack said to have caught on with the women working the town's tabi-sock factories.",うちの郷土料理：フライ 埼玉県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/33_20_saitama.html,農林水産省,2026-09-08
nikuten,にくてん,Nikuten,Nikuten — a fold-in-half okonomiyaki topped with sweet-simmered beef tendon,兵庫県,高砂市,34.7742,134.7897,,dish,兵庫県高砂市で「にくてん」と呼ばれるお好み焼きの一種。すじ肉やこんにゃく、じゃがいも、天かすを甘辛く味付けして生地にのせ、半分に折りたたんで食べる、おでんの残りにも似た一皿とされる。,"What Takasago, Hyogo calls ""nikuten"" is a fold-in-half okonomiyaki topped with sweet-savory beef tendon, konjac, potato, and tenkasu — fillings closer to oden leftovers than a typical okonomiyaki.",うちの郷土料理：にくてん 兵庫県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/40_19_hyogo.html,農林水産省,2026-09-08
