item_slug,tag_slug
arame-rakkasei-nitsuke,kelp
furofuki-daikon,miso
juroku-sasage-gomamiso,miso
juroku-sasage-gomamiso,ceremonial
renkon-no-nimono,ceremonial
himakajima-takomeshi,ceremonial
sumiso-somen,miso
sumiso-somen,cold_served
aichi-hebo-meshi,insect
aichi-iga-manju,ceremonial
haze-tsukudani,soy_sauce
haze-tsukudani,ceremonial
nimiso,miso
kushi-asari,skewered
kushi-asari,street_food
aichi-gohei-mochi,miso
aichi-gohei-mochi,skewered
aichi-gohei-mochi,handheld
aichi-gohei-mochi,street_food
kakimawashi,chicken
kiinai-okowa,ceremonial
aichi-funa-miso,miso
aichi-miso-oden,miso
aichi-hakozushi,ceremonial
aichi-moroko-zushi,ceremonial
oshimon,ceremonial
miso-dengaku,miso
kashiwa-no-hikizuri,chicken
kashiwa-no-hikizuri,egg
aichi-zoni,ceremonial
