from_slug,to_slug,relation_type
arame-rakkasei-nitsuke,takenoko-no-arame-ni,兄弟
furofuki-daikon,hatcho-miso,使用食材
juroku-sasage-gomamiso,hatcho-miso,使用食材
renkon-no-nimono,furofuki-daikon,対比
fuki-no-nitsuke,renkon-no-nimono,対比
himakajima-takomeshi,tako-sakurani,兄弟
oni-manju,hokkaido-imomochi,対比
jojokiri,sumiso-somen,対比
sumiso-somen,hatcho-miso,使用食材
aichi-hebo-meshi,hebo-meshi,対比
aichi-iga-manju,iga-manju,対比
haze-tsukudani,tsukudani,対比
nimiso,hatcho-miso,使用食材
kushi-asari,asari,使用食材
togan-jiru,ozaku,対比
aichi-gohei-mochi,gifu-gohei-mochi,対比
kakimawashi,gunma-torimeshi,対比
kiinai-okowa,okazaki-ouhan,兄弟
aichi-funa-miso,funa-miso,対比
aichi-miso-oden,oden,対比
aichi-hakozushi,hako-zushi,対比
aichi-moroko-zushi,aichi-hakozushi,兄弟
oshimon,aichi-iga-manju,兄弟
miso-dengaku,orido-nasu-dengaku,兄弟
kashiwa-no-hikizuri,nagoya-cochin,使用食材
aichi-zoni,hatcho-miso,対比
