from_slug,to_slug,relation_type
sasamaki,tenko-azuki-sekihan,対比
damako-nabe,kiritanpo-nabe,対比
natto-jiru,akita-imonoko-jiru,対比
kiritanpo-nabe,hinai-jidori,使用食材
akita-imonoko-jiru,kiritanpo-nabe,対比
tenko-azuki-sekihan,sasamaki,対比
tamago-kanten,tofu-kasutera,対比
tofu-kasutera,tamago-kanten,対比
akita-asazuke,tororo-manma,対比
tara-no-ko-iri,tara-jiru,兄弟
kamabuku,kamaboko,対比
junsai-nabe,damako-nabe,対比
tara-jiru,tara-no-ko-iri,兄弟
tonburi-nagaimo-ae,tororo-manma,対比
nasu-no-hanazushi,iburigakko,対比
koi-no-amani,koi,使用食材
akita-oyaki,oyaki,対比
kasube-ni,tara-no-ko-iri,対比
shottsuru-nabe,shottsuru,使用食材
tororo-manma,tonburi-nagaimo-ae,対比
kyanokko-jiru,natto-jiru,対比
sanbai-miso,tofu-kasutera,対比
akita-hoshimochi,hoshimochi,対比
