from_slug,to_slug,relation_type
keiran,kinkamochi,対比
kenojiru,aomori-hittsumi,対比
senbei-jiru,aomori-hittsumi,対比
kaiyaki-miso,tsugaru-miso,使用食材
jappa-jiru,taranoko-ae,兄弟
aomori-bekomochi,hoshimochi,対比
aomori-mame-shitogi,iwate-mame-shitogi,対比
ichigoni,mizu-hoya,対比
kinkamochi,iwate-kamamochi,対比
taranoko-ae,jappa-jiru,兄弟
nasu-shiso-maki,shiso-maki,対比
niaekko,kenojiru,対比
nerikomi,ichinoseki-mochi-ryori,対比
aomori-hittsumi,iwate-hittsumi,兄弟
hoshimochi,aomori-bekomochi,対比
mizu-hoya,mizu-tataki,対比
sake-iizushi,sushiko,兄弟
tsugaru-inari-zushi,inari-zushi,対比
aomori-kakke,soba-kakke,兄弟
gapparamochi,goma-gohan,対比
goma-gohan,gapparamochi,対比
june-mochi,kinkamochi,対比
shoga-miso-oden,tsugaru-miso,使用食材
sushiko,sake-iizushi,兄弟
kyabetsu-masu-zuke,same-sukume,対比
same-sukume,jappa-jiru,対比
aomori-kujira-jiru,hachinohe,対比
