item_slug,tag_slug
futomaki-zushi,ceremonial
seguro-iwashi-goma-zuke,fermented
haba-zoni,ceremonial
kaisou,ceremonial
chiba-rakkasei-miso,miso
fuukashi,miso
kujira-no-tare,souvenir_non_confection
chiba-iwashi-no-unohana-zuke,fermented
chiba-iwashi-no-unohana-zuke,ceremonial
kara-namasu,ceremonial
kinzanji-miso,fermented
kinzanji-miso,miso
gonjuu,pork
gonjuu,ceremonial
gonjuu,handheld
juubako-iri-botamochi,ceremonial
chiba-sumitsukare,ceremonial
takatsu-no-torimeshi,chicken
takatsu-no-torimeshi,ceremonial
teppou-maki,handheld
tenmondou,souvenir_non_confection
barappa-manju,ceremonial
yangome,ceremonial
toridose,chicken
toridose,ceremonial
