from_slug,to_slug,relation_type
futomaki-zushi,teppou-maki,対比
seguro-iwashi-goma-zuke,chiba-iwashi-no-unohana-zuke,対比
namerou,sanga-yaki,兄弟
sanga-yaki,namerou,兄弟
haba-zoni,kaisou,対比
kaisou,haba-zoni,対比
chiba-yude-rakkasei,chiba-rakkasei-miso,兄弟
chiba-rakkasei-miso,pinattsu-miso,対比
seigaku-mochi,kaki-mochi,対比
fuukashi,iwashi-dango-jiru,対比
kujira-no-tare,aomori-kujira-jiru,対比
iwashi-dango-jiru,chiba-iwashi-no-unohana-zuke,兄弟
chiba-iwashi-no-unohana-zuke,iwashi-no-unohana-zuke,対比
kaki-mochi,seigaku-mochi,対比
kara-namasu,chiba-iwashi-no-unohana-zuke,対比
chikko-toufu,kinzanji-miso,対比
kinzanji-miso,chikko-toufu,対比
gonjuu,takatsu-no-torimeshi,対比
juubako-iri-botamochi,mitsumenobotamochi,兄弟
chiba-sumitsukare,ibaraki-shimotsukare,対比
takatsu-no-torimeshi,gonjuu,対比
otaki-takenoko-tenpura,tempura,対比
teppou-maki,futomaki-zushi,対比
tenmondou,kaki-mochi,対比
barappa-manju,yangome,兄弟
yangome,barappa-manju,兄弟
toridose,takatsu-no-torimeshi,対比
