from_slug,to_slug,relation_type
heshiko,sabanuta,対比
namagusa-jiru,maruyaki-saba,派生
sabanuta,maruyaki-saba,兄弟
maruyaki-saba,kashiwa-mochi,兄弟
honkosan,chameshi,派生
fukui-gojiru,honkosan,派生
atsuage-nita,honkosan,派生
fu-no-karashi-ae,honkosan,派生
furu-takuan-no-nimono,takuan,対比
fukui-konbumaki,hokkaido-konbumaki,対比
satoimo-no-koroni,honkosan,派生
choju-namasu,honkosan,派生
gonza,honkosan,派生
hazushi,happa-zushi,兄弟
happa-zushi,hazushi,兄弟
houba-meshi,kashiwa-mochi,兄弟
fukui-zoni,sendai-zoni,対比
hamana-miso,shoyu-no-mi,対比
bokkake,chameshi,対比
chameshi,bokkake,対比
seige,sabanuta,対比
tobitsuki-dango,decchi-yokan,対比
decchi-yokan,tobitsuki-dango,対比
kashiwa-mochi,houba-meshi,兄弟
otsubo,honkosan,派生
