item_slug,tag_slug
nukamiso-daki,fermented
fukuoka-gameni,chicken
fukuoka-gameni,ceremonial
hakata-zoni,ceremonial
mizutaki,chicken
okyuto,cold_served
kashiwa-meshi,chicken
nigui,chicken
nigui,ceremonial
gamenoha-manju,ceremonial
gamenoha-manju,handheld
imo-manju,handheld
su-mochi,ceremonial
senbuki-mage,miso
senbuki-mage,ceremonial
fukuoka-tori-sukiyaki,chicken
fukuoka-tori-sukiyaki,offal
touhei-nabe,miso
nousaba,fermented
nousaba,ceremonial
mitori-manju,ceremonial
mitori-manju,handheld
fukuoka-kuchizoko-nitsuke,soy_sauce
beta-mochi,handheld
yanagawa-dojo-nabe,egg
kamasu-zushi,ceremonial
