item_slug,tag_slug
ika-ninjin,soy_sauce
ika-ninjin,fermented
kozuyu,ceremonial
kozuyu,soy_sauce
sanma-popo-yaki,miso
hokki-meshi,soy_sauce
koi-no-kanroni,soy_sauce
koi-no-kanroni,ceremonial
kyabetsu-mochi,soy_sauce
zakuzaku,soy_sauce
zakuzaku,ceremonial
miso-kanpura,miso
tsuyu-nishime,soy_sauce
tsuyu-nishime,ceremonial
harako-meshi,soy_sauce
mame-kazunoko,soy_sauce
mame-kazunoko,ceremonial
anko-no-tomoae,miso
anko-no-tomoae,offal
anpogaki-no-namasu,ceremonial
anpogaki-no-namasu,cold_served
ohira,soy_sauce
ohira,ceremonial
koi-no-arai,cold_served
koi-no-arai,ceremonial
shimidofu-no-tamagotoji,egg
shimidofu-no-tamagotoji,soy_sauce
shimidofu-no-tamagotoji,freeze_dried
shingoro,miso
shingoro,skewered
koikoku,miso
basashi,cold_served
uchimame-to-kirikonbu-no-nimono,soy_sauce
uchimame-to-kirikonbu-no-nimono,kelp
bodara-ni,soy_sauce
bodara-ni,ceremonial
hatto,ceremonial
ego,ceremonial
juunen-hiyadare,cold_served
juunen-hiyadare,miso
konnyaku-no-shiraae,soy_sauce
soma-donko-jiru,miso
