slug,name_ja,name_romaji,name_en,origin_pref,origin_city,lat,lng,primary_style,type,summary_ja,summary_en,source_title,source_url,source_publisher,source_accessed_at
koi-no-kanroni,鯉の甘露煮,Koi no Kanroni,"Koi no kanroni — carp simmered a long while in sugar, syrup, and soy sauce",福島県,郡山市,37.4004,140.3596,,dish,ぶつ切りにしたコイを砂糖と水あめ、醤油、酒でじっくり煮こみ、一晩置いて味を含ませる郡山の料理。猪苗代湖の水を引いた溜め池で養殖される臭みの少ない鯉を使い、もとはハレの日の料理だったと伝わる。,"Carp cut into chunks is simmered a long while in sugar, starch syrup, soy sauce, and sake, then left overnight to soak up the sauce — a dish of Koriyama. It uses carp farmed with little of the fish's usual muddiness in ponds fed by Lake Inawashiro, and is said to have started as festival-day food.",鯉の甘露煮 福島県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/30_6_fukushima.html,農林水産省,2026-09-08
kyabetsu-mochi,キャベツ餅,Kyabetsu Mochi,Kyabetsu mochi — stir-fried cabbage tossed with freshly pounded rice cake,福島県,郡山市,37.4004,140.3596,,dish,醤油とだし、みりんで炒めたキャベツに、つきたての餅を絡めて食べる郡山市逢瀬地区の料理。米とキャベツを自給していた農家が、どちらも飽きずに食べ切るために考え出したアイデア料理と伝わっている。,"Cabbage stir-fried with soy sauce, dashi, and mirin is tossed with freshly pounded mochi — a dish from the Ose district of Koriyama. It is said to have been dreamed up by farmers who grew both rice and cabbage for themselves, a way to work through a surplus of each without tiring of it.",キャベツ餅 福島県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/30_7_fukushima.html,農林水産省,2026-09-08
miso-kanpura,みそかんぷら,Miso Kanpura,Miso kanpura — small unshippable potatoes fried and glazed in sweet miso,福島県,古殿町,37.1305,140.5871,,dish,皮つきのまま茹でた馬鈴薯（かんぷら）を油で炒めてから水を加えて柔らかくし、砂糖と味噌で炒め煮にする古殿町の料理。出荷できないほど小さな芋を家庭で食べ切るための工夫から生まれたと伝わる。,"Small potatoes, boiled skin-on and called kanpura locally, are pan-fried, softened with a splash of water, and finished in a sweet miso glaze — a dish of Furudono. It is said to have grown out of a way to use up potatoes too small to sell, from farms that grew them for shipment.",みそかんぷら 福島県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/30_9_fukushima.html,農林水産省,2026-09-08
daikon-mochi,大根もち,Daikon Mochi,Daikon mochi — grated heirloom daikon and rice flour pan-fried like okonomiyaki,福島県,郡山市,37.4004,140.3596,,dish,皮に赤い筋が入る会津赤筋大根をすりおろし、刻んだねぎやアミ、米粉と混ぜて焼く郡山の料理。お好み焼きに近い焼き方だが、煮崩れしにくい大根の風味がしっかり残るのが持ち味だという。,"Aizu akasuji daikon, a heirloom turnip with red-streaked skin, is grated and mixed with scallion, tiny shrimp, and rice flour before being pan-fried — a dish of Koriyama, cooked much like okonomiyaki. Its selling point is the daikon's flavor staying intact, since the variety holds its shape well.",大根もち 福島県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/30_10_fukushima.html,農林水産省,2026-09-08
mame-kazunoko,豆数の子,Mame Kazunoko,Mame kazunoko — flat yellow soybeans tossed with soy-marinated herring roe,福島県,,37.7608,140.4747,,dish,青大豆の一種でひらたく黄みを帯びた「ひやし豆」を一晩水に浸して茹で、酒と醤油に漬けた数の子と和える正月料理。福島県内でつくられるおせちに欠かせない一品として親しまれているという。,"Hiyashimame, a flat, yellow-tinged green soybean, is soaked overnight, boiled, and tossed with herring roe marinated in sake and soy sauce — a New Year dish. It is said to be a fixture of the osechi spread made across Fukushima.",豆数の子 福島県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/30_13_fukushima.html,農林水産省,2026-09-08
anko-no-tomoae,あんこうのとも和え,Anko no Tomoae,Anko no tomoae — boiled monkfish tossed with its own pan-fried liver,福島県,相馬市,37.8017,140.9421,,dish,あんこうの肝をフライパンで炒って味噌と砂糖を加えて練り、ゆでたあんこうの身と切り干し大根に絡める相馬の料理。もとは5月の田植えを手伝ってくれた人たちへのご馳走として振る舞われていたという。,"Monkfish liver is pan-fried and worked with miso and sugar into a paste, then tossed with boiled monkfish meat and dried daikon strips — a dish of Soma. It is said to have started as a feast served in May to thank neighbors who helped with rice planting.",あんこうのとも和え 福島県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/30_15_fukushima.html,農林水産省,2026-09-08
ohira,おひら,Ohira,Ohira — smoke-dried river dace simmered with mountain and river ingredients,福島県,只見町,37.3126,139.4183,,dish,産卵期で腹が赤くなったハヤを焼き干しにしてだしを取り、まいたけや昆布、ごぼう、豆腐と煮込む只見町の正月料理。平たい椀に盛りつけることから「おひら」の名がついたとされ、大晦日に仕込み正月に食べるという。,"Dace caught with reddened bellies at spawning time are smoke-dried for stock, then simmered with maitake mushroom, kelp, burdock, and tofu — a New Year dish of Tadami. It is said to take its name, ohira, from the flat bowl it is served in, prepared on New Year's Eve to eat the next day.",おひら 福島県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/30_17_fukushima.html,農林水産省,2026-09-08
shimidofu-no-tamagotoji,凍豆腐の卵とじ,Shimidofu no Tamagotoji,Shimidofu no tamagotoji — freeze-dried tofu stir-fried with greens and egg,福島県,福島市,37.7608,140.4747,,dish,薄切りの豆腐を寒風に2週間ほどさらして水分を抜いた「凍豆腐」を戻し、地元の葉物野菜「信夫菜」と炒めて卵でとじる福島市南部の料理。北西から吹く強風「吾妻おろし」が凍み豆腐づくりを支えてきたという。,"Sliced tofu is left out in the cold wind for about two weeks until dried into shimidofu, then rehydrated, stir-fried with the local shinobuna green, and finished with beaten egg — a dish of southern Fukushima City. The strong northwesterly wind called Azuma-oroshi is said to be what makes the drying possible.",凍豆腐の卵とじ 福島県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/30_19_fukushima.html,農林水産省,2026-09-08
uchimame-to-kirikonbu-no-nimono,打ち豆と切り昆布の煮物,Uchimame to Kirikonbu no Nimono,Uchimame to kirikonbu no nimono — pounded soybeans and shredded kelp simmered together,福島県,会津若松市,37.4955,139.9298,,dish,青大豆を木づちでつぶして乾燥させた打ち豆と、細かく刻んだ切り昆布を大根や油揚げとともに炒め煮にする会津若松の料理。冬に採れる青物が少ない雪国で、長期保存できる乾物を組み合わせて作られてきたという。,"Uchimame, green soybeans pounded flat with a wooden mallet and dried, are simmered with shredded kelp, daikon, and fried tofu — a dish of Aizuwakamatsu. In a snow country where winter yields little fresh produce, it is said to have grown out of combining keeping foods with long shelf lives.",打ち豆と切り昆布の煮物 福島県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/30_24_fukushima.html,農林水産省,2026-09-08
bodara-ni,ぼうたら煮,Bodara-ni,"Bodara-ni — bone-dry salt cod, soaked a week and simmered soft over days",福島県,会津若松市,37.4955,139.9298,,dish,かちかちに乾燥させた棒鱈を一週間ほどかけて水で戻し、醤油と砂糖で骨までやわらかくなるまで何日も煮込む会津若松の正月料理。新鮮な魚介が届きにくい内陸で、たんぱく源として重宝されてきたと伝わる。,"Bodara, cod dried bone-hard, is soaked in water for about a week and simmered over several days in soy sauce and sugar until even the bones soften — a New Year dish of Aizuwakamatsu. In an inland city where fresh seafood rarely arrived, it is said to have been valued as a source of protein.",ぼうたら煮 福島県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/30_25_fukushima.html,農林水産省,2026-09-08
