from_slug,to_slug,relation_type
ika-ninjin,matsumae-zuke,対比
kozuyu,zakuzaku,対比
sanma-popo-yaki,sanma,使用食材
hokki-meshi,hokkigai,使用食材
koi-no-kanroni,koi,使用食材
kyabetsu-mochi,daikon-mochi,対比
zakuzaku,kozuyu,対比
miso-kanpura,juunen-botamochi,対比
daikon-mochi,kyabetsu-mochi,対比
tsuyu-nishime,nishin,使用食材
harako-meshi,sake-salmon,使用食材
mame-kazunoko,kazunoko,使用食材
anko-no-tomoae,anko,使用食材
anpogaki-no-namasu,koi-no-arai,対比
ohira,tsuyu-nishime,対比
koi-no-arai,koi,使用食材
shimidofu-no-tamagotoji,uchimame-to-kirikonbu-no-nimono,対比
juunen-botamochi,shingoro,兄弟
shingoro,juunen-botamochi,兄弟
koikoku,koi,使用食材
basashi,koi-no-arai,対比
uchimame-to-kirikonbu-no-nimono,shimidofu-no-tamagotoji,対比
bodara-ni,tara-madara,使用食材
hatto,juunen-hiyadare,対比
ego,konnyaku-no-shiraae,対比
juunen-hiyadare,hatto,対比
konnyaku-no-shiraae,ego,対比
soma-donko-jiru,hokki-meshi,兄弟
