item_slug,tag_slug
houba-zushi,handheld
keichan,chicken
keichan,miso
keichan,soy_sauce
hebo-meshi,insect
ayu-narezushi,fermented
ayu-narezushi,ceremonial
gifu-gohei-mochi,miso
gifu-gohei-mochi,soy_sauce
gifu-gohei-mochi,skewered
funa-miso,miso
houba-miso,miso
otoshi-no-gottso,ceremonial
ne-zushi,fermented
ne-zushi,ceremonial
gifu-imomochi,skewered
misogi-dango,ceremonial
misogi-dango,skewered
suttate-jiru,ceremonial
kuri-kinton,ceremonial
mizu-manju,cold_served
nita-kumoji,fermented
gifu-kaki-namasu,ceremonial
senkokumame-kakimawashi,chicken
tsugi-jiru,spicy
hatsuuma-dango,ceremonial
tsukemono-misoni,miso
tsukemono-misoni,fermented
gifu-komodofu,ceremonial
gifu-ayu-shioyaki,skewered
