from_slug,to_slug,relation_type
houba-zushi,houba-maki,対比
keichan,okumino-kojidori,対比
karasumi,kuri-kinton,対比
ayu-zosui,gifu-ayu-shioyaki,兄弟
hebo-meshi,gifu-gohei-mochi,兄弟
myoga-bochi,houba-zushi,対比
ayu-narezushi,narezushi,対比
gifu-gohei-mochi,nagano-gohei-mochi,対比
funa-miso,kobuna-no-kanroni,対比
houba-miso,hida-gyu,使用食材
otoshi-no-gottso,tsukemono-misoni,対比
ne-zushi,ayu-narezushi,対比
moroko-zushi,funa-miso,兄弟
gifu-imomochi,hokkaido-imomochi,対比
misogi-dango,hatsuuma-dango,対比
suttate-jiru,hida-gyu,使用食材
kuri-kinton,mizu-manju,対比
mizu-manju,karasumi,対比
nita-kumoji,tsukemono-misoni,対比
gifu-kaki-namasu,kaki-namasu,対比
akadatsu-no-subute,kuwanokimame-ni,対比
senkokumame-kakimawashi,ayu-narezushi,対比
tsugi-jiru,suttate-jiru,対比
hatsuuma-dango,misogi-dango,対比
tsukemono-misoni,nita-kumoji,対比
kanboshi-daikon-ni,shimidaikon-otaue-nimono,対比
kuwanokimame-ni,akadatsu-no-subute,対比
gifu-komodofu,komodofu,対比
gifu-ayu-shioyaki,gunma-ayu-shioyaki,対比
