item_slug,tag_slug
gunma-suiton,miso
gunma-suiton,soy_sauce
gunma-yakimochi,miso
gunma-yakimochi,soy_sauce
gunma-yakimochi,handheld
gunma-shime-dofu,soy_sauce
gunma-shime-dofu,ceremonial
gunma-katemeshi,ceremonial
gunma-neginuta,miso
gunma-neginuta,ceremonial
gunma-neginuta,meal_ender
gunma-mayudama,ceremonial
joshu-kinpira,pork
gunma-konnyaku-shiraae,ceremonial
gunma-sumitsukare,soy_sauce
gunma-sumitsukare,ceremonial
gunma-zakuni,ceremonial
hanaingen-no-nimame,ceremonial
gunma-ayu-shioyaki,skewered
gunma-torimeshi,chicken
gunma-torimeshi,handheld
gunma-katsudon,pork
gunma-katsudon,yoshoku
gunma-gojiru,miso
gunma-konnyaku-miso-oden,miso
gunma-konnyaku-miso-oden,skewered
gunma-yaki-manju,miso
gunma-yaki-manju,skewered
gunma-yaki-manju,street_food
