from_slug,to_slug,relation_type
gunma-suiton,okkirikomi,兄弟
gunma-tansan-manju,gunma-yaki-manju,兄弟
gunma-yakimochi,gunma-tansan-manju,兄弟
gunma-amaneji,gunma-suiton,兄弟
gunma-shime-dofu,gunma-konnyaku-shiraae,兄弟
gunma-katemeshi,saitama-katemeshi,対比
gunma-neginuta,saitama-neginuta,対比
gunma-mayudama,gunma-yaki-manju,兄弟
joshu-kinpira,joshu-mugi-buta,使用食材
gunma-udon,kiryu-himokawa,兄弟
gunma-udon,mizusawa,兄弟
gunma-udon,tatebayashi-udon,兄弟
gunma-konnyaku-shiraae,gunma-shime-dofu,兄弟
gunma-sumitsukare,saitama-sumitsukare,対比
gunma-zakuni,koshine-jiru,兄弟
hanaingen-no-nimame,gunma-gojiru,兄弟
namazu-no-tempura,gunma-ayu-shioyaki,兄弟
namazu-no-tempura,tempura,対比
gunma-ayu-shioyaki,namazu-no-tempura,兄弟
gunma-torimeshi,gunma-katsudon,対比
gunma-katsudon,aizu-katsudon,対比
gunma-gojiru,saitama-gojiru,対比
gunma-konnyaku-miso-oden,saitama-konnyaku-miso-oden,対比
koshine-jiru,gunma-zakuni,兄弟
gunma-yaki-manju,gunma-tansan-manju,兄弟
