item_slug,tag_slug
chanchan-yaki,miso
hokkaido-imomochi,handheld
ishikari-nabe,miso
ikameshi,soy_sauce
hokkaido-sekihan,ceremonial
hokkaido-konbumaki,kelp
hokkaido-konbumaki,ceremonial
bibai-torimeshi,chicken
kujira-jiru,soy_sauce
kujira-jiru,ceremonial
ruibe,cold_served
shishamo-kanroni,soy_sauce
kasube-no-nitsuke,soy_sauce
tachi-miso-shiru,miso
hokkaido-bekomochi,ceremonial
hokkaido-izushi,fermented
hokkaido-izushi,ceremonial
teppo-jiru,miso
sampei-jiru,miso
sampei-jiru,soy_sauce
hokkaido-jingisukan,chinese_derived
