from_slug,to_slug,relation_type
chanchan-yaki,sake-salmon,使用食材
hokkaido-imomochi,hokkaido-bekomochi,対比
ishikari-nabe,sake-salmon,使用食材
ikameshi,surume-ika,使用食材
hokkaido-ramen,taiwan-ramen,対比
hokkaido-sekihan,koganemochi,使用食材
hokkaido-konbumaki,sake-salmon,使用食材
bibai-torimeshi,bibai-yakitori,対比
kujira-jiru,sampei-jiru,対比
ruibe,sake-salmon,使用食材
shishamo-kanroni,shishamo,使用食材
kasube-no-nitsuke,shishamo-kanroni,対比
tachi-miso-shiru,tara-madara,使用食材
hokkaido-bekomochi,hokkaido-imomochi,対比
hokkaido-izushi,nishin-zushi,対比
teppo-jiru,tarabagani,使用食材
sampei-jiru,tara-madara,使用食材
hokkaido-jingisukan,muroran-yakitori,対比
