from_slug,to_slug,relation_type
ikanago-kugini,sansho-tsukudani,対比
botan-nabe,hamo-suki,対比
katsumeshi,kobe-beef,対比
chobojiru,ibitsu-mochi,対比
tanba-kuromame-gohan,tanba-kuromame-ni,使用食材
yude-matsuba-gani,hamo-suki,対比
tofumeshi,saba-zushi,対比
kasujiru,jabu,対比
sansho-tsukudani,ikanago-kugini,対比
hamo-suki,hamo,使用食材
kajiya-nabe,botan-nabe,対比
kobe-gyoza,gyoza,対比
yaki-anago,anago,使用食材
koyadofuko-nimono,jabu,対比
saba-no-jau,saba-zushi,対比
tororo-gohan,botan-nabe,対比
tanba-kuromame-ni,tanba-kuromame-gohan,使用食材
jabu,koyadofuko-nimono,対比
hyogo-tako-meshi,awaji-beef,対比
hatahata-karaage,yude-matsuba-gani,対比
ibitsu-mochi,chobojiru,対比
