slug,name_ja,name_romaji,name_en,origin_pref,origin_city,lat,lng,primary_style,type,summary_ja,summary_en,source_title,source_url,source_publisher,source_accessed_at
ibaraki-shimotsukare,しもつかれ／すみつかれ,Shimotsukare,"Shimotsukare — daikon, soybean, and salted salmon head simmered in sake lees",茨城県,,36.3418,140.4468,,dish,正月に残った塩鮭の頭と節分の炒り大豆、大根と人参を鬼おろしで粗くすりおろし、酒粕でじっくり煮込む冬の料理。初午の日にお稲荷様へ供え、余りを近所へ配る習わしが残る。栃木県など隣接地域にも同様の料理が伝わる。,"Leftover salted salmon head from New Year's and roasted soybeans from Setsubun are simmered with coarsely grated daikon and carrot in sake lees — a winter dish offered to the fox shrine on the first Horse Day of February, with leftovers shared among neighbors. Similar dishes are made in neighboring Tochigi.",しもつかれ／すみつかれ 茨城県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/shimotukare_ibaraki.html,農林水産省,2026-09-08
niai,煮合い,Niai,Niai — lotus root and burdock simmered and finished with vinegar,茨城県,水戸市,36.3418,140.4468,,dish,水戸市東部の下市地方に伝わる、れんこんやごぼうを炒めてだしと醤油で煮て、仕上げに酢を回しかける料理。名は「煮て和える」からと伝わる。仏事では人参を抜き白く仕上げる作法もある。,"From the Shimoichi district east of Mito, lotus root and burdock are stir-fried, simmered in dashi and soy sauce, and finished with a splash of vinegar — the name is said to come from 'simmer and dress.' For Buddhist rites, carrot is left out to keep the dish white.",煮合い 茨城県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/niai_ibaraki.html,農林水産省,2026-09-08
hoshiimo,干しいも,Hoshi Imo,Hoshi Imo — sweet potato slices sun- and wind-dried into a chewy sweet,茨城県,ひたちなか市,36.3959,140.5457,,dish,蒸したさつまいもを薄切りにし、海風にさらして干し上げる保存食。静岡から伝わったとされ、ひたちなか市を中心に盛んに作られてきたとされる。素朴な甘さとねっとりした食感が持ち味。,"Steamed sweet potato is sliced thin and dried in the sea wind — a technique said to have come from Shizuoka, now centered on Hitachinaka, which leads the country in output. The result is naturally sweet with a chewy, dense bite.",干しいも 茨城県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/hoshiimo_ibaraki.html,農林水産省,2026-09-08
sudarebu-goma-zu-ae,すだれ麩のごま酢和え,Sudare-bu no Goma Zu-ae,Sudare-bu no Goma Zu-ae — Yuki City's dried wheat-gluten cake dressed in sesame vinegar,茨城県,結城市,36.3056,139.8785,,dish,結城市だけでつくられる、小麦グルテンに再び小麦粉を練り込んで薄く延ばし、すだれで天日干しにした「すだれ麩」を、ごまと酢で和える一皿。城下町の精進料理から生まれたと伝わる。,"Made only in Yuki, wheat gluten is kneaded again with flour, rolled thin, and sun-dried on a bamboo screen — this 'sudare-fu' is then dressed with sesame and vinegar, a dish said to trace back to the old castle town's temple cooking.",すだれ麩のごま酢和え 茨城県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/sudarebunogomazuae_ibaraki.html,農林水産省,2026-09-08
komodofu,こも豆腐,Komo Dofu,Komo Dofu — tofu pressed and boiled in a straw wrapper,茨城県,,36.3418,140.4468,,dish,水切りした豆腐を藁苞に詰め、塩ゆでして固めた保存食。藁の跡が模様となり、ほのかな香りが移る。冠婚葬祭の料理として親しまれ、藁が手に入りにくくなり近年はつくる家庭が減っている。,"Drained tofu is packed into a straw wrapper and boiled in salted water until firm — the straw leaves a pattern and a faint aroma. Once common at weddings and funerals, it is made less often now that straw wrappers are harder to find.",こも豆腐 茨城県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/komodofu_ibaraki.html,農林水産省,2026-09-08
ogura-renkon,小倉れんこん,Ogura Renkon,Ogura Renkon — lotus root rings simmered sweet with red beans,茨城県,,36.0757,140.1994,,dish,輪切りにしたれんこんの穴に小豆を詰めて甘く煮た正月料理。じっくり煮込むと筑波山が夕陽に赤く染まる様子から「紫峰色」と呼ばれる色に仕上がる。穴が見通せる縁起物として食べられる。,"Sliced lotus root has its holes packed with red beans and is simmered sweet for New Year's, taking on a purplish hue nicknamed 'Shiho color' after nearby Mt. Tsukuba at sunset — eaten as a good-luck charm for its 'clear view' holes.",小倉れんこん 茨城県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/ogurarenkon_ibaraki.html,農林水産省,2026-09-08
kabocha-no-itokoni,かぼちゃのいとこ煮,Kabocha no Itokoni,Kabocha no Itokoni — pumpkin and red beans simmered for the winter solstice,茨城県,,36.3418,140.4468,,dish,かぼちゃと小豆を醤油と砂糖で煮た冬至の定番料理。保存がきくかぼちゃと邪気を払うとされる小豆の赤を合わせ、日照の短い時期を健やかに越すための料理として受け継がれてきた。,"Pumpkin and red beans are simmered in soy sauce and sugar for the winter solstice, pairing a keep-well squash with beans whose red is said to ward off misfortune — food meant to see people safely through the darkest days.",かぼちゃのいとこ煮 茨城県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/kabochanoitokoni_ibaraki.html,農林水産省,2026-09-08
unagi-no-hobiki-ni,うなぎの帆引き煮,Unagi no Hobiki-ni,Unagi no Hobiki-ni — eel simmered sweet and plated with a sail-boat motif,茨城県,龍ヶ崎市,35.9139,140.1836,,dish,酒と醤油、砂糖でふっくら煮たうなぎを、霞ヶ浦名物の帆引き船に見立てた笹の葉とともに供する料理。急な来客をもてなすため、冷凍していたうなぎを手早く仕上げる知恵から生まれたという。,"Eel is simmered soft in sake, soy sauce, and sugar, then plated with bamboo grass shaped to recall Lake Kasumigaura's sail-net fishing boats — a way, it is said, to turn frozen eel into a quick feast for unexpected guests.",うなぎの帆引き煮 茨城県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/unaginohobikini_ibaraki.html,農林水産省,2026-09-08
kaiso-yose,海藻よせ,Kaiso Yose,Kaiso Yose — seaweed jelly from the Kashima coast,茨城県,鹿嶋市,35.9639,140.6461,,dish,鹿島灘でとれる海藻・コトジツノマタを煮溶かし、型に流して冷やし固めた寒天状の料理。銚子の商人が正月前に売り歩いたことから、鹿行地域ではおせちの箸休めとして受け継がれている。,"Kotoji tsunomata seaweed from the Kashima coast is simmered until it thickens, then poured into a mold and chilled into a jelly-like dish — sold by Choshi merchants before New Year's, it lingers on Rokko-area tables as a palate cleanser.",海藻よせ 茨城県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/kaisoyose_ibaraki.html,農林水産省,2026-09-08
soboro-natto,そぼろ納豆／しょぼろ納豆,Soboro Natto,Soboro Natto — Mito's small-grain natto mixed with dried daikon strips,茨城県,水戸市,36.3418,140.4468,,dish,水戸で盛んな小粒納豆に、天日と寒風で干した割り干し大根を刻んで混ぜ、醤油やみりんで漬け込んだ保存食。糸引きの弱い納豆を活かす工夫から生まれたといい、方言で「しょぼろ納豆」とも呼ばれる。,"Mito's small-grain natto is mixed with sun- and wind-dried daikon strips and steeped in soy sauce and mirin — said to have started as a way to use natto that had not fermented quite right, and known locally as shoboro-natto.",そぼろ納豆／しょぼろ納豆 茨城県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/soboronatto_ibaraki.html,農林水産省,2026-09-08
