slug,name_ja,name_romaji,name_en,origin_pref,origin_city,lat,lng,primary_style,type,summary_ja,summary_en,source_title,source_url,source_publisher,source_accessed_at
ishikawa-buridaikon,ぶり大根,Buri Daikon,Buri daikon — yellowtail simmered with daikon radish,石川県,,36.5613,136.6562,,dish,初冬、雷とともに脂の乗った寒ブリのあらを、厚切りの大根と昆布だしでじっくり煮る。ブリの旨みを大根に移すのが決め手とされ、正月や祝い事の贈答にも使われる魚の格を映す一皿。,"Fatty winter yellowtail trimmings are simmered slowly with thick-cut daikon and kelp stock, the fish's richness said to soak into the radish — a dish that carries the prized status yellowtail holds at New Year and in gift-giving.",ぶり大根 石川県｜うちの郷土料理,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/buridaikon_ishikawa.html,農林水産省,2026-09-08
aimaze,あいまぜ,Aimaze,Aimaze — julienned root vegetables simmered together,石川県,,37.0472,136.9683,,dish,能登の赤土で育つ大根や人参などの根菜を細く刻み、油揚げとともに煎り煮にする。正月やハレの日に作り置きされてきたとされ、使う野菜は土地ごとに違い見た目や味に地域性が出る。,"Root vegetables from Noto's reddish soil are cut into thin strips and simmered with fried tofu — traditionally made ahead for New Year and other special days, with the choice of vegetables shifting from village to village.",あいまぜ 石川県｜うちの郷土料理,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/aimaze_ishikawa.html,農林水産省,2026-09-08
nishin-no-konbumaki,にしんの昆布まき,Nishin no Konbumaki,Nishin no konbumaki — herring rolled in kelp,石川県,,36.5613,136.6562,,dish,戻した身欠きニシンを昆布で巻き、かんぴょうで結んで甘辛く煮る。北前船が能登に運んだニシンと昆布を組み合わせた保存食とされ、正月の常備菜として大量に作られてきた。,"Softened dried herring is rolled in kelp, tied with dried gourd strips, and simmered sweet and savory — a preservation dish said to pair the herring and kelp that Kitamae-bune trading ships once brought to Noto, traditionally made in bulk for the New Year.",にしんの昆布まき 石川県｜うちの郷土料理,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/nishinnokobumaki_ishikawa.html,農林水産省,2026-09-08
jibuni,じぶ煮,Jibuni,Jibuni — duck and vegetables in a thickened broth,石川県,,36.5613,136.6562,,dish,小麦粉をまぶした鴨肉とすだれ麩、季節の野菜を出汁でとろみが出るまで煮る。少なくとも江戸期には武家料理として食べられていたとされ、天盛りのわさびが鴨の脂と調和する。,"Duck coated in wheat flour, wheat-gluten cakes, and seasonal vegetables are simmered until the broth thickens — said to have been served as far back as the Edo period, with a dab of wasabi cutting through the duck's richness.",じぶ煮 石川県｜うちの郷土料理,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/jibuni_ishikawa.html,農林水産省,2026-09-08
kishizu,きしず,Kishizu,Kishizu — colorful glass-noodle platter with sesame-miso sauce,石川県,加賀市,36.3011,136.3169,,dish,くずきりやわかめ、きくらげなどを細く切り分けて彩りよく盛り、白ごまと酒粕を練ったたれをかけて食べる精進料理。大聖寺の門前町で法事や報恩講の刺身代わりとして伝わってきたとされる。,"Glass noodles, wakame, and wood-ear mushrooms are cut into thin strips and arranged colorfully, then eaten with a sauce of ground sesame and sake lees — a Buddhist vegetarian dish said to stand in for sashimi at memorial services in Daishoji's temple town.",きしず 石川県｜うちの郷土料理,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/kishizu_ishikawa.html,農林水産省,2026-09-08
sawara-no-kobujime,さわらの昆布じめ,Sawara no Kobujime,Sawara no kobujime — kajiki marlin cured between sheets of kelp,石川県,金沢市,36.5613,136.6562,,dish,石川で「サワラ」と呼ぶカジキマグロを薄く切り、昆布で挟んで半日ほど寝かせる。昆布の旨みが身に移り、ねっとりとした食感が加わるとされ、北前船が運んだ昆布の使い道の一つと伝わる。,"Marlin — locally called sawara — is sliced thin and pressed between sheets of kelp for about half a day, the kelp's savor said to seep into the fish and lend it a silky texture, one of the uses found for the kelp that Kitamae-bune ships carried in.",さわらの昆布じめ 石川県｜うちの郷土料理,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/sawaranokobujime_ishikawa.html,農林水産省,2026-09-08
namako-no-sunomono,なまこの酢の物,Namako no Sunomono,Namako no sunomono — sea cucumber with grated daikon and vinegar,石川県,七尾市,37.0472,136.9683,,dish,薄く切ったなまこを大根おろしと酢で和える冬の一品。波が穏やかな七尾湾は身の柔らかいなまこがとれる産地とされ、コリコリとした歯触りと磯の香りが酒の肴として親しまれてきた。,"Thinly sliced sea cucumber is dressed with grated daikon and vinegar, a winter dish from Nanao Bay, whose calm waters are said to yield especially tender sea cucumber — prized as a crunchy, briny accompaniment to sake.",なまこの酢の物 石川県｜うちの郷土料理,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/namakonosunomono_ishikawa.html,農林水産省,2026-09-08
takenoko-konbu,たけのこ昆布,Takenoko Konbu,Takenoko konbu — bamboo shoot simmered with kelp,石川県,金沢市,36.5613,136.6562,,dish,ゆでたたけのこと、水で戻した昆布を出汁と薄口醤油でじっくり煮含める春の惣菜。金沢近郊で育つたけのこと、北前船で運ばれた北海道の昆布という、二つの食材の出会いを映す料理と伝わる。,Boiled bamboo shoot and rehydrated kelp are simmered in light soy sauce — a spring dish said to bring together bamboo grown around Kanazawa and kelp once carried in by Kitamae-bune ships from Hokkaido.,たけのこ昆布 石川県｜うちの郷土料理,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/takenokokombu_ishikawa.html,農林水産省,2026-09-08
kaga-futokyuri-no-ankake,加賀太きゅうりのあんかけ,Kaga Futokyuri no Ankake,Kaga futokyuri no ankake — thick-cut cucumber in a starchy sauce,石川県,金沢市,36.5613,136.6562,,dish,皮をむいた加賀太きゅうりを下ゆでし、ひき肉とともに煮て葛でとろみをつける。従来のきゅうりより肉厚で青臭さが少なく、火を通しても崩れにくいとされ、夏の食欲が落ちる時季に重宝される。,"Peeled Kaga futokyuri — a thick, meaty local cucumber said to hold its shape and lose its grassy edge when cooked — is parboiled, simmered with ground meat, and finished with a starch-thickened sauce, welcomed during the sluggish heat of summer.",加賀太きゅうりのあんかけ 石川県｜うちの郷土料理,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/kagafutokyurinoankake_ishikawa.html,農林水産省,2026-09-08
suizen,すいぜん,Suizen,Suizen — a white agar terrine served with black sesame sauce,石川県,輪島市,37.3897,136.8996,,dish,てんぐさを煮溶かし米粉を加えて固めた、輪島の精進料理。刺身の代わりとして法事や葬式の膳に供され、すった黒ごまに黒砂糖を混ぜたたれをつけて食べる。ごまをするのは男性の役目だったと伝わる。,"Agar seaweed is boiled down, thickened with rice flour, and set — a Wajima Buddhist dish served in place of sashimi at funerals and memorial gatherings, eaten with a sauce of ground black sesame and brown sugar that men were traditionally tasked with grinding.",すいぜん 石川県｜うちの郷土料理,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/suizen_ishikawa.html,農林水産省,2026-09-08
