from_slug,to_slug,relation_type
ishikawa-buridaikon,toyama-buridaikon,対比
aimaze,metta-jiru,対比
nasu-somen,nasu-no-orandani,兄弟
nishin-no-konbumaki,hokkaido-konbumaki,源流
jibuni,hasu-mushi,対比
kishizu,suizen,兄弟
sawara-no-kobujime,toyama-kobujime,兄弟
namako-no-sunomono,isaza-no-tamagotoji,対比
goshiki-namagashi,mitama,対比
takenoko-konbu,takenoko-no-misoni,兄弟
kaga-futokyuri-no-ankake,nasu-no-orandani,対比
suizen,kishizu,兄弟
metta-jiru,aimaze,対比
mitama,kuromame-okowa,兄弟
sazaemeshi,bai-no-nimono,対比
isaza-no-tamagotoji,megisu-no-dangojiru,対比
bekanabe,ishiru-nabe,対比
itokojiru,itokoni,兄弟
megisu-no-dangojiru,genge-no-misoshiru,対比
tai-no-karamushi,hasu-mushi,対比
nasu-no-orandani,nasu-somen,兄弟
tara-no-kotsuke,mako-no-nitsuke,兄弟
mako-no-nitsuke,tara-no-kotsuke,兄弟
kaga-oshizushi,osezushi,対比
hinezushi,oshi-zushi,対比
ishiru-nabe,ishiru,使用食材
ebisu,bekko,兄弟
hasu-mushi,jibuni,対比
