slug,name_ja,name_romaji,name_en,origin_pref,origin_city,lat,lng,primary_style,type,summary_ja,summary_en,source_title,source_url,source_publisher,source_accessed_at
kirisensho,きりせんしょ,Kirisensho,"Kirisensho — a steamed rice-flour cake with walnut, sesame and soy glaze",岩手県,,39.7036,141.1527,,dish,米粉を蒸してくるみとごまを練り込み、醤油と砂糖で味付けして小判形や木の葉形に整える。県央の水田地帯で桃の節句の供え物や農作業の合間の「こびり」として親しまれてきた。,"Steamed rice flour is kneaded with walnut and sesame, sweetened with soy sauce and sugar, and shaped into ovals or leaf forms — a snack from central Iwate's rice country, offered at the Girls' Festival or eaten during farm-work breaks.",きりせんしょ 岩手県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/28_2_iwate.html,農林水産省,2026-09-08
iwate-ganzuki,がんづき,Ganzuki,Ganzuki — a steamed brown-sugar sponge cake studded with walnut and sesame,岩手県,一関市,38.933,141.1279,,dish,小麦粉に重曹と酢を加えて蒸し膨らませ、くるみやごまを散らした素朴な蒸し菓子。丸い形と表面のごまの並びが満月に向かう雁に見えることが名の由来とされ、県南地域を中心に農作業の合間のおやつとされてきた。,"Wheat flour leavened with baking soda and vinegar is steamed into a rustic sponge studded with walnut and sesame — its round shape and sesame pattern likened to geese flying toward a full moon, a farm-break snack of southern Iwate.",がんづき 岩手県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/28_4_iwate.html,農林水産省,2026-09-08
ichinoseki-mochi-ryori,伝統餅料理,Dento Mochi Ryori,Traditional mochi cuisine of Ichinoseki — dozens of toppings for a ceremonial rice-cake course,岩手県,一関市,38.933,141.1279,,dish,あんこやずんだ、くるみ、納豆、雑煮など約300通りの食べ方がある餅料理の総称。仙台藩の命で月2回餅を搗いた風習が根付き、一関では年60回以上餅を食べる「餅暦」と、儀礼作法に則る「餅本膳」が今も残る。,"An umbrella term for some 300 ways of dressing mochi — sweet red bean, edamame paste, walnut, natto, zoni and more. A domain-era custom of pounding mochi twice a month left Ichinoseki with a ""mochi calendar"" of 60-plus occasions a year and a formal ceremonial mochi course still observed today.",伝統餅料理 岩手県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/28_6_iwate.html,農林水産省,2026-09-08
iwate-mame-shitogi,豆しとぎ,Mame Shitogi,Mame shitogi — a soybean and rice-flour offering cake from northern Iwate,岩手県,,40.2761,141.3011,,dish,煮た青大豆をすりつぶし、米粉と砂糖を混ぜてこね棒状に切る。米が乏しかった岩手県北で米粉を大豆でかさ増ししたと考えられ、大黒様や山の神への年取りの供え物として作られてきた。,"Boiled green soybeans are mashed and kneaded with rice flour and sugar into a log and sliced — thought to stretch scarce rice flour with beans in rice-poor northern Iwate, once offered to the harvest and mountain gods.",豆しとぎ 岩手県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/28_8_iwate.html,農林水産省,2026-09-08
kaho-dango,果報だんご,Kaho Dango,"Kaho dango — rice dumplings with a lucky twig hidden inside, made for a December rite",岩手県,,38.933,141.1279,,dish,米粉の団子をいくつかに萩の木片を仕込んで小豆がゆに入れ、木片入りの団子に当たると幸運を呼ぶとされる。12月24日の「大師講」に神棚へ供える県南地域の行事菓子で、今も子ども会などで作られる。,"Rice-flour dumplings — a few with a hidden bush-clover twig — are dropped into sweet red-bean porridge; finding the twig is said to bring luck. Offered on December 24th for the Daishi-ko rite in southern Iwate, still made at children's gatherings.",果報だんご 岩手県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/28_9_iwate.html,農林水産省,2026-09-08
ocha-mochi,お茶もち,Ocha Mochi,"Ocha mochi — flattened rice dumplings on a skewer, brushed with sweet walnut sauce",岩手県,盛岡市,39.7036,141.1527,,dish,うるち米粉の団子を数個串に刺して平らにつぶし、蒸してからくるみだれをつけて焼く。かつて囲炉裏であぶって食べた盛岡周辺の餅菓子で、名は形が軍配うちわに似ることに由来すると伝わる。,"Rice-flour dumplings are skewered, flattened, steamed and grilled with a walnut glaze — a Morioka-area treat once toasted over the hearth, its name said to come from a resemblance to a war-fan shape.",お茶もち 岩手県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/28_11_iwate.html,農林水産省,2026-09-08
hecchoko-dango,へっちょこだんご,Hecchoko Dango,Hecchoko dango — dimpled millet dumplings simmered in sweet red-bean soup,岩手県,,40.2761,141.3011,,dish,たかきび粉やもちあわ粉など雑穀の団子の中央をへこませ、甘い小豆汁で煮る。「うきうきだんご」とも呼ばれ、収穫後の労をねぎらう「庭じまい」の行事食として、米が育ちにくい県北で作られてきた。,"Dumplings of millet and sorghum flour, each dimpled in the center, are simmered in a sweet red-bean soup — also called ""ukiuki dango,"" a harvest-close treat from rice-poor northern Iwate where they float to the surface as they cook.",へっちょこだんご／うきうきだんご 岩手県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/28_14_iwate.html,農林水産省,2026-09-08
iwate-kamamochi,かまもち,Kamamochi,"Kamamochi — a half-moon dumpling filled with walnut, miso and brown sugar",岩手県,,39.7036,141.1527,,dish,小麦粉を熱湯でこねた生地に味噌と黒砂糖、くるみを練った餡をのせ、半月形に閉じて茹でる。県内全域で作られる素朴なおやつで、地域により「ひゅうず」「かまだんご」など呼び名が異なる。,"Wheat dough kneaded with hot water is folded around a filling of miso, brown sugar and walnut into a half-moon and boiled — a simple treat made across Iwate under regional names like ""hyuzu"" or ""kamadango.""",かまもち 岩手県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/28_15_iwate.html,農林水産省,2026-09-08
hina-manju,ひなまんじゅう,Hina Manju,Hina manju — rice-dough buns shaped like flowers and rabbits for the Girls' Festival,岩手県,花巻市,39.3897,141.133,,dish,米粉の生地に食紅で色をつけ小豆あんを包み、木型や竹串で花や桃、うさぎなど30種以上の形に整える。花巻市大迫町のひな人形めぐりの風習とともに伝わり、桃の節句に「きりせんしょ」と共に供えられる。,"Rice-flour dough tinted with food coloring is wrapped around red-bean paste and shaped into flowers, peaches or rabbits using wooden molds — tied to a doll-viewing custom in Hanamaki's Ohasama area, offered alongside kirisensho at the Girls' Festival.",ひなまんじゅう 岩手県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/28_17_iwate.html,農林水産省,2026-09-08
azuki-batto,小豆ばっとう,Azuki Batto,Azuki batto — wide wheat noodles served in a sweet red-bean broth,岩手県,,39.2749,141.8853,,dish,小麦粉を寝かせて幅広のうどん状に切り、ざらめで甘く煮た小豆汁に合わせる。建前や庭じまいの祝いに三陸沿岸地域で作られ、お盆の七日目に7回食べると無病息災とする風習も残る。,"Rested wheat dough cut into wide noodle strips is served in a sugar-sweetened red-bean broth — made along the Sanriku coast for building-raising and harvest celebrations, with a custom of eating it seven times on the seventh day of Obon for good health.",小豆ばっとう 岩手県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/28_20_iwate.html,農林水産省,2026-09-08
