from_slug,to_slug,relation_type
iwate-hittsumi,aomori-hittsumi,兄弟
kirisensho,hina-manju,兄弟
mamebu-jiru,iwate-hittsumi,対比
iwate-ganzuki,kirisensho,対比
sukikonbu-no-nimono,iwate-nishime,対比
ichinoseki-mochi-ryori,nerikomi,対比
yanagi-batto,soba-kakke,兄弟
iwate-mame-shitogi,aomori-mame-shitogi,対比
kaho-dango,ichinoseki-mochi-ryori,対比
iwate-nishime,sukikonbu-no-nimono,対比
ocha-mochi,kirisensho,対比
hizu-namasu,kurumi-zoni,対比
imonoko-jiru,iwate-kenchin-jiru,対比
hecchoko-dango,shidami-dango,対比
iwate-kamamochi,kinkamochi,対比
soba-kakke,aomori-kakke,兄弟
hina-manju,kirisensho,兄弟
sanma-surimi-jiru,ofunato-sanma,対比
ukogi-horohoro,kurumi-doufu,対比
azuki-batto,yanagi-batto,対比
tofu-dengaku,kurumi-doufu,対比
donko-jiru,ofunato-sanma,対比
iwate-kenchin-jiru,imonoko-jiru,対比
mizu-tataki,mizu-hoya,対比
hoya-sunomono,mizu-hoya,対比
kurumi-doufu,ocha-mochi,対比
shidami-dango,hecchoko-dango,対比
kurumi-zoni,hizu-namasu,対比
nuppei-jiru,tofu-dengaku,対比
