item_slug,tag_slug
anmochi-zoni,miso
anmochi-zoni,ceremonial
kagawa-barazushi,ceremonial
kagawa-dojou-jiru,miso
ebi-miso-shiru,miso
ebi-miso-shiru,ceremonial
hage-dango,handheld
kagawa-kakimaze,soy_sauce
kagawa-kakimaze,ceremonial
kankan-zushi,ceremonial
konnyaku-no-hachihai,soy_sauce
kagawa-konnyaku-shiraae,miso
kagawa-konnyaku-shiraae,ceremonial
mossomeshi,handheld
ochirashi-ame,handheld
oshinuki-zushi,ceremonial
satsuma,miso
kagawa-shoyu-mame,soy_sauce
kagawa-shoyu-mame,souvenir_non_confection
tai-somen,ceremonial
takuan-no-kinpira,fermented
teppai,miso
toshiake-udon,ceremonial
uchikomi-jiru,miso
uzumaki-mochi,ceremonial
uzumaki-mochi,handheld
wakegiae,miso
wakegiae,ceremonial
warigo-bento,ceremonial
warigo-bento,handheld
