from_slug,to_slug,relation_type
aji-no-sanbai,aji,使用食材
anmochi-zoni,teppai,兄弟
kagawa-barazushi,osaka-barazushi,対比
kagawa-dojou-jiru,uchikomi-jiru,兄弟
ebi-miso-shiru,anmochi-zoni,兄弟
hage-dango,uzumaki-mochi,兄弟
imotako,wakegiae,兄弟
iriko-meshi,sanuki,使用食材
kagawa-kakimaze,shodoshima-shoyu,使用食材
kankan-zushi,oshinuki-zushi,兄弟
konnyaku-no-hachihai,sawasawa,兄弟
kagawa-konnyaku-shiraae,konnyaku-no-hachihai,兄弟
manbano-kenchan,iriko-meshi,兄弟
mossomeshi,warigo-bento,兄弟
kagawa-nasu-somen,shodoshima-somen,使用食材
ochirashi-ame,hage-dango,兄弟
oshinuki-zushi,kankan-zushi,兄弟
satsuma,teppai,兄弟
sawasawa,konnyaku-no-hachihai,兄弟
shima-no-chagayu,kagawa-nasu-somen,対比
kagawa-shoyu-mame,shodoshima-shoyu,使用食材
tai-somen,kagawa-nasu-somen,兄弟
takuan-no-kinpira,sippoku-udon,兄弟
teppai,anmochi-zoni,兄弟
toshiake-udon,sanuki,使用食材
uchikomi-jiru,kagawa-dojou-jiru,兄弟
uzumaki-mochi,hage-dango,兄弟
wakegiae,imotako,兄弟
warigo-bento,kagawa-kakimaze,兄弟
