from_slug,to_slug,relation_type
satsumaebizoni,buri-zoni,対比
keihan,aburazomen,兄弟
satsumajiru,satsuma-jidori,使用食材
kagoshima-buridaikon,toyama-buridaikon,対比
miki,keihan,対比
mizuikanomadajiru,kibinago,対比
buta-hone-yasai,sangon,兄弟
sangon,buta-hone-yasai,兄弟
aburazomen,keihan,兄弟
fukuregashi,kokuto,使用食材
shirokuma,fukuregashi,対比
hechimajiru,aburazomen,対比
butajiru,tonkotsu,兄弟
satsumasumoji,sakezushi,対比
kashamochi,kokuto,使用食材
getanha,kokuto,使用食材
karukan,getanha,対比
karaimonettabo,karaimogohan,兄弟
karaimogohan,karaimonettabo,兄弟
jambomochi,akumaki,対比
akumaki,jambomochi,対比
butamiso,buta-hone-yasai,兄弟
tonkotsu,butajiru,兄弟
torisashi,satsumajiru,兄弟
