from_slug,to_slug,relation_type
kanagawa-kenchin-jiru,iwate-kenchin-jiru,対比
oyama-tofu,tofu-dengaku,対比
herahera-dango,ishigaki-dango,兄弟
yokosuka-kaigun-curry,curry-rice,対比
sake-manju,ishigaki-dango,対比
kanagawa-kate-meshi,gunma-katemeshi,対比
wakasagi-no-kanroni,wakasagi,使用食材
ume-gohan,umeboshi,使用食材
kanko-yaki,anbo,対比
maguro-no-kabuto-yaki,maguro,使用食材
norabou-na-no-ohitashi,nasu-iri,対比
gyu-nabe,yokohama,対比
ishigaki-dango,herahera-dango,兄弟
nara-chameshi,kawasaki-new-tantan,対比
tanishi-no-misoni,wakasagi-no-kanroni,対比
shumai,yokohama,兄弟
yude-rakkasei,oyama-tofu,対比
