from_slug,to_slug,relation_type
imo-no-kuki-no-itameni,satsuma-age,使用食材
katsuo-no-tataki,sawachi-ryori,兄弟
guruni,taimo-no-korobashi,対比
ryukyu-no-sunomono,inaka-zushi,使用食材
itadori-no-aburaitame,zenmai-no-itameni,兄弟
himeichi-mikan-karashini,ryukyu-no-sunomono,使用食材
koshimeshi,katsuo,使用食材
kirazu-mochi,kibinago-no-hokaburi,兄弟
tofu-no-umezuzuke,kashikiri,対比
kure-no-nimono,kujira-no-tare,対比
taimo-no-korobashi,guruni,対比
hachiku-to-endo-no-nimono,guruni,対比
sawachi-ryori,katsuo-no-tataki,兄弟
imobera-azuki,kankoro,対比
konchin,ginburo-zushi,兄弟
tsugani-jiru,ryukyu-no-sunomono,使用食材
chate-no-aemono,kyuri-to-kawaebi-no-nimono,対比
zenmai-no-itameni,konchin,兄弟
kobu-zushi,saba-no-sugata-zushi,兄弟
kyuri-to-kawaebi-no-nimono,chate-no-aemono,対比
kibinago-no-hokaburi,kirazu-mochi,兄弟
ginburo-zushi,hange-dango,兄弟
hange-dango,zenmai-no-itameni,兄弟
kashikiri,tofu-no-umezuzuke,対比
mushidai,sawachi-ryori,兄弟
negi-satsumaimo-no-nuta,ha-ninniku-no-nuta,兄弟
ha-ninniku-no-nuta,negi-satsumaimo-no-nuta,兄弟
saba-no-sugata-zushi,sawachi-ryori,兄弟
