item_slug,tag_slug
karashi-renkon,miso
karashi-renkon,spicy
dagojiru,miso
yakiayu-no-kanroni,soy_sauce
ikinari-dango,handheld
ikinari-dango,street_food
amakusa-ganeage,ceremonial
nankan-age-makizushi,ceremonial
nankan-age-makizushi,handheld
tsubon-jiru,ceremonial
tsubon-jiru,soy_sauce
konoshiro-sugata-zushi,ceremonial
kumamoto-basashi,soy_sauce
butaae,miso
butaae,pork
maze-meshi,ceremonial
amakusa-tako-meshi,ceremonial
koppa-mochi,handheld
amakusa-tai-somen,ceremonial
taipiien,chinese_derived
taipiien,egg
tojiko-mame,ceremonial
itimonji-no-guruguru,miso
jyabara-daikon-no-nimono,ceremonial
hone-kajiri,pork
kumamoto-yubeshi,ceremonial
