from_slug,to_slug,relation_type
karashi-renkon,renkon-hasami-age,対比
dagojiru,battou-jiru,対比
yakiayu-no-kanroni,ayu,使用食材
ikinari-dango,koppa-mochi,対比
amakusa-ganeage,gane,対比
nankan-age-makizushi,konoshiro-sugata-zushi,対比
tsubon-jiru,tsubojiru,対比
konoshiro-sugata-zushi,omura-zushi,対比
kumamoto-basashi,baniku-soba,対比
butaae,amakusa-tako-meshi,対比
makigaki,korogaki,対比
maze-meshi,amakusa-tako-meshi,対比
amakusa-tako-meshi,tako-meshi,対比
kasuyose,tsubon-jiru,対比
koppa-mochi,ikinari-dango,対比
shaku-tempura,tempura,対比
amakusa-tai-somen,shimabara-somen,使用食材
yama-surume-no-kinpira,kinpira,対比
taipiien,kumamoto,対比
tojiko-mame,kumamoto-yubeshi,対比
itimonji-no-guruguru,gunma-neginuta,対比
jyabara-daikon-no-nimono,hoshi-daikon-no-nishime,対比
hone-kajiri,kumamoto-basashi,対比
kumamoto-yubeshi,yubeshi,対比
