item_slug,tag_slug
kuromame-ni,soy_sauce
kuromame-ni,ceremonial
takenoko-kinome-ae,miso
manganji-togarashi-jako-taitan,soy_sauce
kyoto-shiromiso-zoni,miso
kyoto-shiromiso-zoni,ceremonial
tango-barazushi,egg
tango-barazushi,ceremonial
kigosho,soy_sauce
uji-kintoki,meal_ender
minazuki,ceremonial
minazuki,meal_ender
mibuna-karashiae,spicy
kyoto-furofuki-daikon,miso
hamo-yakimono,soy_sauce
hamo-yakimono,ceremonial
taikabura,soy_sauce
nishin-nasu,soy_sauce
nikudofu,beef
nikudofu,soy_sauce
takenoko-fuki-taitan,soy_sauce
takenoko-fuki-taitan,smoked
korogaki-namasu,ceremonial
zuiki-taitan,soy_sauce
ebiimo-bodara-taitan,soy_sauce
ebiimo-bodara-taitan,ceremonial
sansho-ha-tsukudani,soy_sauce
kamonasu-dengaku,miso
ohagi,ceremonial
ohagi,meal_ender
natto-mochi,fermented
natto-mochi,ceremonial
