slug,name_ja,name_romaji,name_en,origin_pref,origin_city,lat,lng,primary_style,type,summary_ja,summary_en,source_title,source_url,source_publisher,source_accessed_at
kuromame-ni,黒豆煮,Kuromame Ni,Kuromame ni — Tanba black soybeans slow-simmered in soy sauce and sugar,京都府,南丹市,35.0997,135.4633,,dish,丹波地域でとれる大粒の黒大豆を、砂糖と醤油でふっくらと煮る。艶やかな黒光りは長寿と健康の願いを込めた正月おせちの定番で、栽培に半年かかることから「苦労豆」とも呼ばれてきたという。,"Large black soybeans from the Tanba area are slow-simmered in soy sauce and sugar until glossy and plump. A New Year's osechi staple said to carry wishes for health and long life, the bean is also called 'kuro dai zu' — nicknamed the 'hardship bean' for its half-year growing season.",黒豆煮 京都府 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/kuromameni_kyoto.html,農林水産省,2026-09-08
takenoko-kinome-ae,たけのこの木の芽和え,Takenoko no Kinome-ae,Takenoko no kinome-ae — bamboo shoots dressed with white miso and sansho leaf,京都府,,35.0116,135.7681,,dish,京都式軟化栽培でえぐみを抑えたたけのこを、山椒の若葉「木の芽」をすり込んだ白味噌だれで和える。春の訪れを告げる一品として、木の芽和えといえばたけのこが浮かぶほど親しまれているという。,"Bamboo shoots grown by Kyoto's shading method, prized for their mild flavor, are dressed in a white-miso sauce ground with young sansho leaves called kinome. Said to be so tied to the vegetable that the name 'kinome-ae' alone brings bamboo shoots to mind, it announces spring's arrival.",たけのこの木の芽和え 京都府 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/takenokonokinomeae_kyoto.html,農林水産省,2026-09-08
manganji-togarashi-jako-taitan,万願寺とうがらしとじゃこの炊いたん,Manganji Togarashi to Jako no Taitan,Manganji togarashi to jako no taitan — sweet Kyoto peppers simmered with dried baby sardines,京都府,,35.2966,135.1256,,dish,肉厚で辛みのない京野菜「万願寺とうがらし」を、じゃこと出汁・醤油でじっくり炊く夏のおばんざい。舞鶴市万願寺地区で伏見とうがらしとカリフォルニア・ワンダーが自然交雑して生まれたと伝わる。,"Thick-fleshed, mild Manganji peppers, a Kyoto heirloom vegetable, are simmered slowly with dried baby sardines in dashi and soy sauce — a summer obanzai dish. The pepper is said to have arisen from a natural cross between Fushimi togarashi and a California pepper in Maizuru's Manganji district.",万願寺とうがらしとじゃこの炊いたん 京都府 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/manganzitougarashitojakonotaitan_kyoto.html,農林水産省,2026-09-08
kigosho,きごしょう,Kigosho,"Kigosho — the young leaves and pods of Fushimi togarashi peppers, simmered in soy sauce",京都府,京都市,35.0116,135.7681,,dish,辛みのない京野菜「伏見とうがらし」の若葉と小さな実を、醤油や酒で炒め煮にする常備菜。ほのかな唐辛子の風味と独特の苦みがあり、ごはんのお供や酒の肴として夏に親しまれているという。,"The young leaves and small pods of Fushimi togarashi, a mild Kyoto heirloom pepper, are stir-simmered in soy sauce and sake into a everyday side dish. With a faint peppery aroma and distinctive bitterness, it is said to be enjoyed in summer over rice or alongside sake.",きごしょう 京都府 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/kigosho_kyoto.html,農林水産省,2026-09-08
mibuna-karashiae,壬生菜のからし和え,Mibuna no Karashi-ae,Mibuna no karashi-ae — Kyoto mustard greens dressed with hot mustard and sesame,京都府,京都市,35.0116,135.7681,,dish,京都市壬生地区発祥の京野菜「壬生菜」を茹でて刻み、すりごまと練り辛子で和える。みず菜と同じ仲間だがぴりっとした辛みと苦味があり、千枚漬けのそえ物としても知られているという。,"Mibuna, a Kyoto heirloom green from the city's Mibu district and a relative of mizuna, is boiled, chopped, and dressed with ground sesame and hot mustard. Sharper and more bitter than mizuna, it is said to be known too as the customary garnish for senmai-zuke turnip pickles.",壬生菜のからし和え 京都府 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/mibunanokarashiae_kyoto.html,農林水産省,2026-09-08
kyoto-furofuki-daikon,ふろふき大根,Furofuki Daikon,"Furofuki daikon — Kyoto's giant Shogoin turnip-shaped daikon, simmered and topped with miso",京都府,,35.0116,135.7681,,dish,煮崩れしにくく甘みの強い京野菜「聖護院だいこん」を、昆布出汁でとろりと柔らかく煮る冬の一皿。白味噌や柚子味噌をつけて食べ、旬の12月には府内各地の寺院で無病息災を祈る「大根焚き」もおこなわれる。,"Shogoin daikon, a giant round Kyoto turnip prized for its sweetness and resistance to falling apart, simmers in kelp dashi until meltingly soft — a winter dish eaten with white or yuzu miso. In its December peak season, temples across the prefecture hold daikon-boiling rites for good health.",ふろふき大根 京都府 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/furofukidaikon_kyoto.html,農林水産省,2026-09-08
taikabura,鯛蕪,Taikabura,Taikabura — sea bream simmered with giant Shogoin turnip,京都府,京都市,35.0116,135.7681,,dish,国内最大級の京野菜「聖護院かぶ」とタイのあらを出汁で炊き合わせる冬の京料理。旬の食材同士を組み合わせる「であいもん」の代表格で、天保年間に千枚漬けが知れ渡ってから聖護院かぶの栽培が広まったと伝わる。,"Shogoin turnip, among Japan's largest, simmers with sea bream trimmings in dashi — a winter Kyoto dish and a classic 'deaimon,' the pairing of two in-season ingredients. Cultivation of the turnip is said to have spread after senmai-zuke pickles made from it became widely known in the Tenpo era.",鯛蕪／聖護院かぶと鯛の煮物 京都府 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/taikabura_kyoto.html,農林水産省,2026-09-08
nishin-nasu,にしん茄子,Nishin Nasu,Nishin nasu — dried herring simmered with eggplant,京都府,,35.0116,135.7681,,dish,北前船で北海道から運ばれた干物「身欠きニシン」を、脂の染みやすいなすと炊き合わせる京都の「であいもん」。米のとぎ汁で戻してから数時間かけて煮含める手間を要し、鯛蕪などと並ぶ代表例とされる。,"Migaki-nishin, dried herring once brought from Hokkaido by the kitamae-bune trading ships, simmers with eggplant that readily soaks up its richness — a Kyoto 'deaimon.' Rehydrated in rice-rinse water and simmered for hours, it is named alongside taikabura as a classic of the pairing.",にしん茄子／茄子とにしんの炊いたん 京都府 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/nishinnasu_kyoto.html,農林水産省,2026-09-08
nikudofu,肉豆腐,Nikudofu,Nikudofu — beef and tofu simmered sukiyaki-style with Kujo green onion,京都府,京都市,35.0116,135.7681,,dish,牛肉と木綿豆腐を割り下で煮て、京の伝統野菜「九条ねぎ」を加えるすき焼き風の一皿。九条ねぎは伏見稲荷神社建立の際に植えられたのが発祥とも伝わり、軟水でつくる京都の豆腐と好相性とされる。,"Beef and firm tofu simmer in a sweet soy broth, finished with Kujo green onion, a Kyoto heirloom variety said to trace to plantings made when Fushimi Inari Shrine was founded — a sukiyaki-style dish. Kyoto's soft water is said to make tofu that pairs especially well with it.",肉豆腐 京都府 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/nikudofu_kyoto.html,農林水産省,2026-09-08
takenoko-fuki-taitan,たけのことふき・生節の炊いたん,"Takenoko to Fuki, Namabushi no Taitan",Takenoko to fuki no taitan — bamboo shoots and butterbur simmered with lightly smoked bonito,京都府,長岡京市,34.9247,135.6997,,dish,たけのことふきを、一度だけ燻したカツオの加工品「生節」と一緒に出汁で炊く、海から遠い京都ならではのおばんざい。たけのこの旬と生節の流通時期が重なることから、春の家庭料理として親しまれているという。,"Bamboo shoots and butterbur simmer in dashi with namabushi, bonito that has been smoked just once rather than fully cured — a home dish born of landlocked Kyoto's distance from the sea. Bamboo season and namabushi's availability coincide, making it a familiar spring dish, it is said.",たけのことふき・生節の炊いたん 京都府 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/takenokotofuki_kyoto.html,農林水産省,2026-09-08
