from_slug,to_slug,relation_type
kuromame-ni,korogaki-namasu,兄弟
takenoko-kinome-ae,kamonasu-dengaku,兄弟
manganji-togarashi-jako-taitan,zuiki-taitan,兄弟
kyoto-shiromiso-zoni,osaka-shiromiso-zoni,対比
tango-barazushi,saba-zushi,兄弟
kigosho,sansho-ha-tsukudani,兄弟
uji-kintoki,minazuki,対比
minazuki,uji-kintoki,対比
mibuna-karashiae,senmai-zuke,兄弟
matsutake-gohan,kuri-gohan,兄弟
kyoto-furofuki-daikon,saikyo-miso,使用食材
hamo-yakimono,hamo-nabe,対比
taikabura,senmai-zuke,対比
nishin-nasu,taikabura,兄弟
nikudofu,kyoto-niku,使用食材
takenoko-fuki-taitan,ebiimo-bodara-taitan,兄弟
korogaki-namasu,kuromame-ni,兄弟
zuiki-taitan,manganji-togarashi-jako-taitan,兄弟
ebiimo-bodara-taitan,takenoko-fuki-taitan,兄弟
sansho-ha-tsukudani,kigosho,兄弟
kamonasu-dengaku,takenoko-kinome-ae,兄弟
ohagi,natto-mochi,兄弟
natto-mochi,kibi-mochi,兄弟
kibi-mochi,natto-mochi,兄弟
kuri-gohan,matsutake-gohan,兄弟
