item_slug,tag_slug
arame-maki,kelp
arame-maki,ceremonial
arame-maki,soy_sauce
mie-aimaze,ceremonial
fuki-dawara,ceremonial
fuki-dawara,handheld
bon-jiru,miso
bon-jiru,ceremonial
ibara-mochi,ceremonial
ibara-mochi,handheld
same-namasu,ceremonial
same-namasu,fermented
sakana-no-jifu,soy_sauce
chagayu,cold_served
mie-tofu-dengaku,miso
mie-tofu-dengaku,skewered
mie-tofu-dengaku,ceremonial
noppei,ceremonial
ahodaki,fermented
ahodaki,soy_sauce
iwashi-zushi,ceremonial
kakimaze,ceremonial
garagara-oroshi,ceremonial
garagara-oroshi,miso
kyuri-no-hiyajiru,miso
kyuri-no-hiyajiru,cold_served
kounago-no-kugini,soy_sauce
kounago-no-kugini,souvenir_non_confection
mie-zoni,ceremonial
tako-meshi,ceremonial
manbo-sumiso-ae,miso
sakana-no-tataki,cold_served
chatsu,ceremonial
sakana-no-shiokara,fermented
rakkasei-no-nimame,soy_sauce
rakkasei-no-nimame,ceremonial
