from_slug,to_slug,relation_type
arame-maki,sakana-no-shiokara,対比
mie-aimaze,aimaze,対比
fuki-dawara,chagayu,兄弟
bon-jiru,uchimame-jiru,対比
ibara-mochi,naisho-mochi,兄弟
same-namasu,sakana-no-tataki,対比
sakana-no-jifu,sukiyaki,対比
chagayu,fuki-dawara,兄弟
mie-tofu-dengaku,shiga-tofu-dengaku,兄弟
noppei,chagayu,対比
ahodaki,furu-takuan-no-nimono,対比
iwashi-zushi,sanma-zushi,対比
kakimaze,kokera-zushi,対比
garagara-oroshi,chatsu,対比
kyuri-no-hiyajiru,hiyajiru,対比
kounago-no-kugini,sakana-no-shiokara,対比
mie-zoni,toyama-zoni,対比
tako-meshi,kounago-no-kugini,対比
naisho-mochi,ibara-mochi,兄弟
manbo-sumiso-ae,same-namasu,対比
sakana-no-tataki,same-namasu,兄弟
chatsu,garagara-oroshi,対比
sakana-no-shiokara,arame-maki,対比
rakkasei-no-nimame,bon-jiru,対比
