from_slug,to_slug,relation_type
okuzukake,hatto-jiru,対比
sendai-zoni,harakomeshi,兄弟
hokkimeshi,aburafu-don,兄弟
hesodaikon-nishime,kaki-namasu,対比
harakomeshi,sake-salmon,使用食材
bakke-miso,myoga-hayaki,対比
nasu-iri,aburafu-don,兄弟
zunda-mochi,ebi-mochi,兄弟
takenoko-gohan,hokkimeshi,対比
hatto-jiru,okuzukake,対比
nameta-garei-nitsuke,donko-jiru,対比
fusube-mochi,ebi-mochi,兄弟
sanma-surimijiru,sanma,使用食材
hoya-sunomono,hoya,使用食材
sanma-kigaki,sanma-surimijiru,対比
ebi-mochi,fusube-mochi,兄弟
sasakamaboko-isobeage,sasa-kamaboko,使用食材
gojiru,donko-jiru,対比
donko-jiru,gojiru,対比
kishazu-iri,nasu-iri,対比
ganzuki,myoga-hayaki,対比
myoga-hayaki,bakke-miso,対比
kaki-namasu,hesodaikon-nishime,対比
azara,sanma-kigaki,対比
iwana-shioyaki,iwana,使用食材
aburafu-don,nasu-iri,兄弟
ichijiku-kanroni,kaki-namasu,対比
