from_slug,to_slug,relation_type
toshitori-zen,miyazaki-nishime,兄弟
miyazaki-nishime,toshitori-zen,兄弟
sakana-zushi,nanatoko-zushi,対比
futatabi-dango,iriko-mochi,対比
mehikari-no-karaage,karaage,対比
nadoufu,somage,対比
kappo-dori,miyazaki-jitokko,使用食材
somage,nadoufu,対比
hie-zushi,somage,対比
toukibi-meshi,kappo-dori,対比
miyazaki-hiyajiru,zabu-jiru,対比
nuta-imo,seri-no-yogoshi,対比
ocha-no-ha-tempura,tempura,対比
zabu-jiru,miyazaki-hiyajiru,対比
miyazaki-torimeshi,chikin-nanban,対比
hyuga-kabocha-nimono,nuta-imo,対比
renkon-surinagashi-jiru,zabu-jiru,対比
iriko-mochi,futatabi-dango,対比
jidori-no-miso-korobakashi,miyazaki-jitokko,使用食材
su-no-shui,miyazaki-hiyajiru,対比
seri-no-yogoshi,nuta-imo,対比
nanatoko-zushi,hie-zushi,対比
meno-mochi-arare,iriko-mochi,対比
obiten,kanimaki-jiru,対比
kanimaki-jiru,obiten,対比
nerikuri,gane,使用食材
tsuwabuki-no-aburaitame,seri-no-yogoshi,対比
