slug,name_ja,name_romaji,name_en,origin_pref,origin_city,lat,lng,primary_style,type,summary_ja,summary_en,source_title,source_url,source_publisher,source_accessed_at
kobuna-no-kanroni,小鮒の甘露煮,Kobuna no Kanroni,Kobuna no kanroni — small crucian carp simmered sweet in soy sauce,長野県,佐久市,36.2483,138.4767,,dish,田んぼで稲と一緒に育てた小ぶりの鮒を、生きたまま鍋に入れ醤油と砂糖でじっくり煮詰める佐久地域の秋の味覚。骨まで柔らかく煮えたところをほかほかの新米と合わせて食べるという。,"Small crucian carp raised alongside rice in paddy fields go into the pot live, simmered slowly in soy sauce and sugar until the bones soften — an autumn taste of the Saku region, eaten alongside freshly cooked new rice.",小鮒の甘露煮 長野県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/kobunano_kanroni_nagano.html,農林水産省,2026-09-08
yashouma,やしょうま,Yashouma,Yashouma — steamed rice-flour dumplings for the Buddha's memorial day,長野県,,36.6486,138.1947,,dish,米粉を練って蒸し、青のりや黒豆を混ぜて棒状にのばした団子。2月15日の涅槃会に仏壇へ供える北信・中信地域の風習で、家や寺でつくったものを子どもたちがもらい歩いたと伝わる。,"Rice flour is kneaded, steamed, and rolled into a log studded with green laver and black beans — a custom of northern and central Nagano for offering to Buddha on the February 15 memorial day, once handed out to children who went door to door.",やしょうま 長野県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/yashouma_nagano.html,農林水産省,2026-09-08
inago-no-tsukudani,いなごの佃煮,Inago no Tsukudani,Inago no tsukudani — locusts simmered sweet and salty in soy sauce,長野県,,35.8355,137.9509,,dish,稲刈りの時期に田んぼで捕まえたいなごを、醤油と砂糖で甘辛く煮詰めた保存食。伊那谷には古くから昆虫食の文化が根付いており、貴重な動物性たんぱく源として食べられてきたと伝わる。,Locusts caught in the paddies at rice-harvest time are simmered sweet and salty in soy sauce — a preserved food from the Ina Valley's long-standing tradition of eating insects as a valued source of animal protein.,いなごの佃煮 長野県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/inagono_tsuku_dani_nagano.html,農林水産省,2026-09-08
imo-namasu,いもなます,Imonamasu,Imonamasu — julienned potato stir-fried crisp with vinegar,長野県,飯山市,36.6767,138.3559,,dish,千切りにしたじゃがいものでんぷんを念入りに洗い流し、油と酢でシャキシャキの食感に炒め上げる飯山市の一品。江戸時代から食べられてきたとされ、冠婚葬祭など人が集まる席にも大皿で振る舞われてきたという。,"Julienned potato has its starch thoroughly rinsed away, then gets stir-fried in oil and vinegar until crisp — a dish of Iiyama City said to have been eaten since the Edo period and served on large plates at gatherings and ceremonies.",いもなます 長野県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/imo_namasu_nagano.html,農林水産省,2026-09-08
shioika-no-sunomono,塩いかの酢の物,Shioika no Sunomono,Shioika no sunomono — salted squid dressed with cucumber and wakame,長野県,,36.6486,138.1947,,dish,海のない信州へ「塩の道」を通って運ばれた塩丸いかを塩抜きし、きゅうりやわかめと酢で和える。冷蔵技術がなかった時代の貴重な海産物の保存食で、今も夏場の食卓によくのぼるという。,"Salted squid, once carried inland along Shinshu's old salt road, is soaked to draw out the salt, then dressed with cucumber and wakame in vinegar — a preserved seafood from before refrigeration, still common on summer tables.",塩いかの酢の物 長野県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/sioika_no_sunomono_nagano.html,農林水産省,2026-09-08
kone-tsuke,こねつけ,Konetsuke,Konetsuke — leftover rice kneaded with wheat flour and pan-fried,長野県,,36.402,138.2489,,dish,残りご飯に小麦粉を混ぜてこね、輪切りにして焼き、甘味噌や胡桃味噌のたれをからめる北信・東信地域の一品。戦国武将・真田幸村が出陣前に食したとの逸話が伝わる、米を無駄なく食べ切る生活の知恵から生まれた料理という。,"Leftover rice is kneaded with wheat flour, sliced into rounds, pan-fried, and coated with a sweet miso or walnut-miso glaze — a dish of northern and eastern Nagano said to have been eaten by the warlord Sanada Yukimura before battle, born of the wisdom of using every last grain of rice.",こねつけ 長野県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/kone_tsuke_nagano.html,農林水産省,2026-09-08
tenyose,天寄せ,Tenyose,"Tenyose — agar set with somen noodles or egg, colored for the occasion",長野県,諏訪市,36.0422,138.1256,,dish,寒天液にそうめんや卵などを流し込んで固める諏訪地域の寄せもの。祝儀には紅、不祝儀には緑と色を使い分け、7年に一度の御柱祭のもてなし料理としても振る舞われてきたという。,"Agar liquid is poured over somen noodles or egg and set firm — a molded dish of the Suwa region, colored red for celebrations and green for solemn occasions, served to guests at the once-every-seven-years Onbashira festival.",天寄せ 長野県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/tenyose_nagano.html,農林水産省,2026-09-08
nira-senbei,にらせんべい,Nira Senbei,Nira senbei — a thin pan-fried wheat batter with chives and miso,長野県,,36.6486,138.1947,,dish,小麦粉を水で溶いて刻んだにらを混ぜ、油をひいた鍋で薄く広げてカリカリに焼く北信地域のおやつ。米が貴重だった山間部で「粉もの」として日常の食事やおこびれを支えてきたという。,"Wheat flour is thinned with water and mixed with chopped chives, then poured thin into an oiled pan and fried crisp — a snack of northern Nagano's mountain villages, where flour-based fare stood in for scarce rice at mealtimes and breaks.",にらせんべい 長野県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/nira_senbei_nagano.html,農林水産省,2026-09-08
yatara,やたら,Yatara,Yatara — chopped summer vegetables and pickles tossed over rice,長野県,,36.6486,138.1947,,dish,きゅうりやなす、辛味の効いたぼたんこしょうなどの夏野菜と大根の味噌漬けを細かく刻んで混ぜ合わせ、温かいご飯にかける北信地域の常備菜。とにかく何でも刻んで混ぜることから「やたら」と呼ばれるという。,"Cucumber, eggplant, the sharp local chili called botankosho, and miso-pickled daikon are all chopped fine and mixed together, then spooned over hot rice — a staple of northern Nagano said to be named yatara, 'haphazardly,' for how freely anything gets thrown in.",やたら 長野県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/yatara_nagano.html,農林水産省,2026-09-08
nagano-ego,えごの酢味噌あえ,Ego no Sumisoae,Ego no sumisoae — seaweed jelly sliced and dressed with mustard vinegar-miso,長野県,,36.6486,138.1947,,dish,エゴ草という海藻を煮溶かして型で固め、刺身こんにゃくのように切って辛子酢味噌をつける。日本海側から行商人が「塩の道」を通じて運んだのが始まりとされ、盆や冠婚葬祭に欠かせない北信・中信地域の一品という。,"Ego-gusa seaweed is simmered down, poured into a mold and set firm, then sliced like konnyaku sashimi and dipped in a mustard vinegar-miso. Said to have arrived via peddlers along the old salt road from the Sea of Japan coast, it's considered essential at Obon and family occasions in northern and central Nagano.",えごの酢味噌あえ 長野県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/ego_no_sumisoae_nagano.html,農林水産省,2026-09-08
shimidaikon-otaue-nimono,凍み大根のお田植えの煮物,Shimidaikon no Otaue no Nimono,Shimidaikon no otaue no nimono — freeze-dried daikon simmered for the rice-planting feast,長野県,,36.6486,138.1947,,dish,夜の凍結と昼の解凍を繰り返して干した凍み大根を、身欠きにしんや昆布と煮込む。手植えで田植えをしていた時代、その労をねぎらう「お田植え料理」として振る舞われた長野の一品という。,"Daikon dried through repeated nightly freezing and daytime thawing simmers with herring and kelp — a dish once served in Nagano as part of the rice-planting feast, honoring the hard labor of transplanting seedlings by hand.",凍み大根のお田植えの煮物 長野県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/shimi_daikon_no_otaue_no_nimono_nagano.html,農林水産省,2026-09-08
hitashi-mame,ひたし豆,Hitashi Mame,Hitashi mame — boiled green soybeans steeped in a light dashi,長野県,,36.6486,138.1947,,dish,青大豆を歯ごたえが残る程度にゆで、薄味のだし汁に浸す北信・東信地域の一品。馬の鞍のような模様をもつ「鞍掛豆」でもつくられ、数の子と合わせておせち料理にもなるという。,"Green soybeans are boiled until still faintly crisp, then steeped in a lightly seasoned dashi — a dish of northern and eastern Nagano also made with the saddle-marked kurakake bean, sometimes paired with herring roe as part of New Year's osechi.",ひたし豆 長野県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/hitashi_mame_nagano.html,農林水産省,2026-09-08
hoshi-kabocha-egoma-ae,干しかぼちゃのえごま和え,Hoshikabocha no Egomaae,Hoshikabocha no egomaae — sun-dried kabocha squash dressed in ground perilla,長野県,,36.6486,138.1947,,dish,短冊切りにしたかぼちゃをからからになるまで天日に干し、水で戻してすったえごまで和える鬼無里地域の保存食。冬に腐りやすいかぼちゃを保存用に干す知恵から生まれ、煮物やおやきの具にも使われるという。,"Kabocha squash, sliced into strips and sun-dried until brittle, is rehydrated and tossed in ground perilla seed — a preserved dish of the Kinasa area born from the need to keep squash, which spoils easily over winter, also used simmered or as filling for oyaki.",干しかぼちゃのえごま和え 長野県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/hoshi_kabocha_no_egomaae_nagano.html,農林水産省,2026-09-08
