item_slug,tag_slug
shimabara-guzoni,ceremonial
hikitoshi,chicken
hikitoshi,ceremonial
urakami-soboro,pork
omura-nigomi,chicken
omura-nigomi,ceremonial
rokubee,fermented
sara-udon,chinese_derived
iriyaki,chicken
iriyaki,ceremonial
igirisu,ceremonial
hikado,yoshoku
isahaya-keihan,chicken
isahaya-keihan,ceremonial
nuppe,chicken
nuppe,ceremonial
hanahajiki,ceremonial
morobuta-zushi,ceremonial
kujira-jaga,soy_sauce
pasutii,yoshoku
pasutii,chicken
almado,egg
almado,ceremonial
sasebo-lemon-steak,beef
sasebo-lemon-steak,postwar_us_military
sasebo-lemon-steak,yoshoku
kuritsubo,ceremonial
kuritsubo,miso
tsubojiru,ceremonial
nagasaki-milk-seiki,cold_served
kanzarashi,cold_served
