slug,name_ja,name_romaji,name_en,origin_pref,origin_city,lat,lng,primary_style,type,summary_ja,summary_en,source_title,source_url,source_publisher,source_accessed_at
urakami-soboro,浦上ソボロ,Urakami Soboro,Urakami soboro — pork sliced thin and stir-fried with fried kamaboko and vegetables,長崎県,長崎市,32.7722,129.8611,,dish,細切りにした豚肉を揚げかまぼこや糸こんにゃく、もやしなどと炒め合わせた料理。1500年代後半、肉食の習慣がなかった信徒に「健康にいい食べ物」として布教者が広めたのが始まりと伝わるという。,"Thinly sliced pork is stir-fried with fried kamaboko, shirataki noodles, and bean sprouts. Said to date to the late 1500s, when missionaries introduced it to Christian converts unaccustomed to eating meat, framing it as good for their health.",浦上ソボロ 長崎県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/46_3_nagasaki.html,農林水産省,2026-09-08
omura-nigomi,にごみ,Nigomi,"Omura nigomi — chicken, peanuts, and root vegetables diced small and simmered together",長崎県,大村市,32.9128,129.9575,,dish,鶏肉や落花生、厚揚げ、根菜などを1cm角に細かく刻んで甘めに煮込む大村市の煮物。落花生の名産地に江戸時代から伝わるもてなし料理とされ、具材を細かく切るのは無駄をなくす知恵ともいわれる。,"Chicken, peanuts, deep-fried tofu, and root vegetables are all diced to about a centimeter and simmered sweet — a dish from peanut-growing Omura said to date to Edo-era hospitality meals, its fine dicing perhaps a way to waste nothing.",にごみ 長崎県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/46_4_nagasaki.html,農林水産省,2026-09-08
igirisu,いぎりす,Igirisu,Igirisu — dissolved igisu seaweed set into a jelly block with mixed vegetables and peanuts,長崎県,,32.7889,130.3775,,dish,乾燥したイギス藻を煮溶かし、キクラゲや豆腐、にんじんなどの具を流し込んで固めた寒天状の料理。愛媛県今治地方のいぎす豆腐がルーツとされ、島原の乱後に四国から移住した人々が伝えたという。,"Dried igisu seaweed is dissolved and poured over mixed ingredients like wood ear mushroom, tofu, and carrot to set into a firm, agar-like block — said to be rooted in Imabari's igisu-doufu, brought by settlers who moved from Shikoku after the Shimabara Rebellion.",いぎりす 長崎県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/46_10_nagasaki.html,農林水産省,2026-09-08
hikado,ヒカド,Hikado,"Hikado — a soy-seasoned stew of fish or chicken and root vegetables, thickened with grated sweet potato",長崎県,長崎市,32.7503,129.8779,,dish,魚や鶏肉と大根、にんじんなどの野菜を細かく切って煮込み、すりおろしたさつまいもでとろみをつけた料理。長崎に滞在したポルトガル人の肉のシチューが起源とされ、名はポルトガル語の「刻む」に由来するという。,"Fish or chicken and vegetables like daikon and carrot are diced fine and simmered, thickened at the end with grated sweet potato — said to originate in a meat stew eaten by Portuguese residents of Nagasaki, its name from the Portuguese word for ""minced.""",ヒカド 長崎県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/46_11_nagasaki.html,農林水産省,2026-09-08
nuppe,ぬっぺ,Nuppe,"Nuppe — root vegetables and konnyaku simmered with chicken into a thick, starch-bound stew",長崎県,諫早市,32.8444,130.0503,,dish,里芋を中心とした根菜とこんにゃく、厚揚げ、鶏肉を煮込んだとろみのある煮物。諫早地区に伝わり、法事の精進料理として供されてきたとされる。日本各地の「のっぺ」「ぬっぺい」と同系統の料理という。,"Taro and other root vegetables, konnyaku, deep-fried tofu, and chicken are simmered into a thickened stew — passed down in Isahaya, said to have been served as a vegetarian dish at Buddhist memorial services, part of a family of ""noppe"" dishes found across Japan.",ぬっぺ 長崎県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/46_14_nagasaki.html,農林水産省,2026-09-08
hanahajiki,鼻はじき,Hanahajiki,Hanahajiki — julienned vegetables and shrimp fanned on a plate and dipped in hot mustard vinegar-miso,長崎県,諫早市,32.8444,130.0503,,dish,きゅうりやにんじん、厚揚げ、エビなどを短冊状に切って皿に放射状に並べ、辛子酢みそをつけて食べる料理。諫早地区に伝わり、辛子が鼻をツンとはじくことが名の由来とされ、法事の精進料理とされてきたという。,"Cucumber, carrot, deep-fried tofu, and shrimp are cut into strips and fanned out on a plate to be dipped in a hot mustard vinegar-miso — a dish from Isahaya said to be named for how the mustard ""flicks the nose,"" traditionally served at Buddhist memorial services.",鼻はじき 長崎県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/46_15_nagasaki.html,農林水産省,2026-09-08
kujira-jaga,鯨じゃが,Kujira Jaga,"Kujira jaga — a nikujaga-style stew of salted whale meat, potato, and onion",長崎県,,32.7503,129.8779,,dish,市販の塩鯨とじゃがいも、たまねぎ、糸こんにゃくを煮込んだ肉じゃが風の料理。捕鯨の中心地だった彼杵に由来する鯨食文化を背景に、近代以降に広まった肉じゃがへ鯨肉を取り入れてつくられたという。,"Store-bought salted whale meat is simmered with potato, onion, and shirataki noodles into a nikujaga-style stew — said to have emerged from Nagasaki's whaling culture, centered on Sonogi, once the dish of simmered meat and potato itself became common in the modern era.",鯨じゃが 長崎県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/46_19_nagasaki.html,農林水産省,2026-09-08
pasutii,パスティー,Pasutii,"Pasutii — a chicken-and-mushroom stew baked under a pie crust, its name from the Portuguese for pie",長崎県,,32.7503,129.8779,,dish,鶏ガラスープで煮込んだ鶏肉や山芋、しいたけなどを大鉢に盛り、パイ生地をかぶせて焼き上げる料理。鎖国時代に出島に出入りしたオランダ人から伝わったとされ、中国由来の具材と和風の味付けが同居する。,"Chicken, mountain yam, and shiitake simmered in chicken broth are piled into a bowl, topped with a pie crust, and baked — said to have arrived from Dutch traders at Dejima during the isolation era, mixing Chinese-influenced ingredients with a Japanese-style seasoning.",パスティー 長崎県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/46_20_nagasaki.html,農林水産省,2026-09-08
yudehoshi-daikon-nimono,茹で干し大根とかんぼこの煮物,Yudehoshi Daikon to Kanboko no Nimono,Yudehoshi daikon to kanboko no nimono — boiled-then-dried daikon simmered with local fried fish cake,長崎県,西海市,32.9578,129.7594,,dish,大根を短冊に切って茹で、断崖の干し場で天日干しにした「茹で干し大根」を、長崎名物の「かんぼこ」（かまぼこ）と煮込む西海市の料理。茹でてから干すため苦みが少なく、味がしみ込みやすいという。,"Daikon is cut into strips, boiled, then sun-dried on a cliffside drying rack into ""yudehoshi daikon,"" simmered with kanboko, Nagasaki's name for its local kamaboko — a Saikai dish said to turn less bitter and soak up seasoning more readily for having been boiled before drying.",茹で干し大根とかんぼこの煮物 長崎県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/46_23_nagasaki.html,農林水産省,2026-09-08
kuritsubo,くりつぼ,Kuritsubo,Kuritsubo — chicken and root vegetables simmered sweet with candied chestnuts,長崎県,川棚町,33.1256,129.9333,,dish,鶏もも肉やにんじん、れんこん、里芋などの根菜を、栗の甘露煮とともに麦味噌や醤油で煮た川棚町・東彼杵町の煮物。「栗」と、盛る椀を坪に見立てた「つぼ」が名の由来とされ、祭りのごちそうとして伝わる。,"Chicken thigh and root vegetables like carrot, lotus root, and taro are simmered in barley miso or soy alongside candied chestnuts — a dish from Kawatana and Higashisonogi named, it's said, for its chestnuts (kuri) and the bowl it's served in (tsubo), traditionally festival fare.",くりつぼ 長崎県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/46_25_nagasaki.html,農林水産省,2026-09-08
