item_slug,tag_slug
nara-noppei,ceremonial
yamato-zoni,ceremonial
yamato-zoni,miso
imobota,ceremonial
kashiwa-sukiyaki,chicken
kashiwa-sukiyaki,ceremonial
asuka-nabe,chicken
hangesho-mochi,ceremonial
tako-momiuri,ceremonial
totsukawa-sanma-zushi,fermented
totsukawa-sanma-zushi,ceremonial
nara-ae,fermented
nara-kaki-namasu,ceremonial
dengara,ceremonial
yamato-fuki-dawara,ceremonial
mana-mehari,handheld
irogohan,soy_sauce
nanairo-oae,miso
nanairo-oae,ceremonial
yamatona-usuage-nimono,soy_sauce
itadori-nimono,soy_sauce
amago-kanroni,soy_sauce
namabushi-negi-nimono,smoked
namabushi-negi-nimono,soy_sauce
ei-nikogori,soy_sauce
