item_slug,tag_slug
sorakitamochi,handheld
oita-jiriyaki,handheld
kirasumameshi,soy_sauce
ryukyu,soy_sauce
dango-jiru,miso
aji-no-maruzushi,ceremonial
atama-ryori,ceremonial
atama-ryori,offal
gomadashi,soy_sauce
ayu-uruka,fermented
ayu-uruka,offal
kujaku,egg
kujaku,ceremonial
yuzu-kawani,ceremonial
oita-aimaze,soy_sauce
oita-aimaze,ceremonial
koneri,miso
oita-sakemanju,fermented
yudemochi,handheld
ishigaki-mochi,handheld
tai-men,ceremonial
gan-jiru,soy_sauce
niwatori-jiru,chicken
taraosa,soy_sauce
mosso-zushi,ceremonial
okata-zushi,ceremonial
amimeshi,soy_sauce
ohan,ceremonial
oita-torimeshi,chicken
hyuga-don,egg
hyuga-don,soy_sauce
yaseuma,handheld
