from_slug,to_slug,relation_type
okayama-saba-zushi,mamakari-zushi,対比
mamakari-su-zuke,mamakari-zushi,源流
hiruzen-okowa,hiruzen-yakisoba,対比
kenbiki-yaki,niimi-kenchin-soba,対比
todomese,okayama-barazushi,源流
sawara-no-kokozushi,okayama-barazushi,対比
kusagina-kakemeshi,tofu-meshi,対比
yubeshi,yuzu-miso,兄弟
takomeshi,funa-meshi,対比
bachi-jiru,takakibi-dango-jiru,対比
ami-to-daikon-no-nitsuke,ishimochi-jako-karaage,対比
buri-zoni,kuromame-chirashizushi,対比
takakibi-dango-jiru,bachi-jiru,対比
ishimochi-jako-karaage,ami-to-daikon-no-nitsuke,対比
shishi-nabe,chiya-gyu,対比
iidako-no-nitsuke,takomeshi,対比
demi-katsudon,tsuyama-horumon-udon,対比
ki-nira-ohitashi,shiso-no-mi-tsukudani,対比
shiso-no-mi-tsukudani,ki-nira-ohitashi,対比
funa-meshi,takomeshi,対比
kuromame-chirashizushi,okayama-barazushi,対比
tofu-meshi,kusagina-kakemeshi,対比
yuzu-miso,yubeshi,兄弟
