slug,name_ja,name_romaji,name_en,origin_pref,origin_city,lat,lng,primary_style,type,summary_ja,summary_en,source_title,source_url,source_publisher,source_accessed_at
kuubu-irichii,クーブイリチー,Kuubu Irichii,Kuubu irichii — shredded kelp fried and simmered sweet-salty with pork,沖縄県,,26.2124,127.6809,,dish,千切りにした昆布を豚だしと醤油、砂糖でこってりと炒め煮にする。「昆布」と「よろこぶ」の語呂合わせから祝いの席に欠かせない料理とされ、豚の三枚肉やかまぼこと合わせて味を含ませる手間が旨みを深める。,"Shredded kelp is fried then simmered down in pork stock, soy sauce, and sugar until richly sweet-salty. Its name puns on kobu (kelp) and yorokobu (to rejoice), making it a fixture at celebrations, its flavor deepened by simmering in with pork belly and kamaboko.",クーブイリチー 沖縄県｜うちの郷土料理,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/47_2_okinawa.html,農林水産省,2026-09-08
rafutee,ラフテー,Rafutee,"Rafute — pork belly simmered slow in sugar, soy sauce, and awamori",沖縄県,,26.2124,127.6809,,dish,皮つきの豚三枚肉を、砂糖と醤油、泡盛でとろけるまで気長に煮こむ。かつては暑い沖縄の保存食として濃い味付けだったが、時代とともに薄味へと変わり、法事や客膳に欠かせない料理として今に伝わる。,"Skin-on pork belly is simmered low and slow in sugar, soy sauce, and awamori until it yields at a touch. Once a heavily seasoned preserved food suited to Okinawa's heat, the flavor has grown milder over time into a dish reserved for memorial services and formal guest meals.",ラフテー 沖縄県｜うちの郷土料理,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/47_6_okinawa.html,農林水産省,2026-09-08
taanmu-dingaku,ターンムディンガク,Taanmu Dingaku,Taanmu dingaku — Okinawan taro worked sweet into a dessert-like paste,沖縄県,,26.2124,127.6809,,dish,沖縄特産の田芋を甘く練り上げた、脂っこい豚肉料理の後に添えるデザート的な一品。親芋の周りに子芋が育つことから子孫繁栄の縁起物とされ、正月やお盆など祝いの席に欠かせない食材として扱われる。,"Okinawa's own taro, sweetened and worked into a smooth paste — often served after a rich pork course, almost as dessert. Because young corms grow in a ring around the parent, taro is read as a sign of descendants flourishing, making it essential at New Year and Obon.",ターンムディンガク 沖縄県｜うちの郷土料理,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/47_7_okinawa.html,農林水産省,2026-09-08
gooyaa-chanpuruu,ゴーヤーチャンプルー,Gooyaa Chanpuruu,Goya champuru — bitter melon stir-fried with firm tofu and egg,沖縄県,,26.2124,127.6809,,dish,苦味のあるゴーヤーを、しっかりとした沖縄豆腐や卵と炒め合わせる。豆腐が入ってはじめて「チャンプルー」と呼べるとされ、夏の暑さで落ちる食欲とビタミンCの摂取を同時に支える一皿として、季節を問わず食卓に上る。,"Bitter goya is stir-fried together with Okinawa's firm tofu and egg. A dish only earns the name champuru once tofu is in it, and this one has long served double duty — coaxing back a summer-flagged appetite while delivering vitamin C, now eaten year-round.",ゴーヤーチャンプルー 沖縄県｜うちの郷土料理,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/47_11_okinawa.html,農林水産省,2026-09-08
ninjin-shirishirii,人参シリシリー,Ninjin Shirishirii,Ninjin shirishirii — shredded carrot stir-fried and bound with egg,沖縄県,,26.2124,127.6809,,dish,専用のおろし器でせん切りにした人参を炒め、溶き卵でとじる沖縄の常備菜。「シリシリー」とはすりおろす音を表す方言で、常備の食材だけで手早くつくれる彩りの良さから、子どもから大人まで日常的に親しまれている。,"Carrot shredded on a purpose-made grater is stir-fried and bound with beaten egg. Shirishirii is Okinawan dialect for the sound of grating, and the dish — quick, colorful, built from pantry staples — is an everyday favorite across generations.",人参シリシリー 沖縄県｜うちの郷土料理,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/47_13_okinawa.html,農林水産省,2026-09-08
minudaru,ミヌダル,Minudaru,Minudaru — pork loin steamed in a black sesame paste until nearly black,沖縄県,,26.2124,127.6809,,dish,豚のロース肉を黒ゴマだれに漬けこんで蒸し上げる、見た目の黒さから「黒肉」とも呼ばれる料理。脂が落ちるため見た目より軽い味わいで、冷めても味が変わりにくく、東道盆と呼ばれる祝いの前菜盛りの一品として供される。,"Pork loin is steeped in a black-sesame paste and steamed until the color turns almost black, earning it the nickname 'black meat.' Steaming renders out the fat for a lighter taste than it looks, and it keeps well cold, making it a fixture among the assorted appetizers of formal Ryukyu banquets.",ミヌダル 沖縄県｜うちの郷土料理,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/47_14_okinawa.html,農林水産省,2026-09-08
naabeeraa-nbushii,ナーベーラーンブシー,Naabeeraa Nbushii,Naabeeraa nbushii — young loofah simmered thick with miso pork belly,沖縄県,南風原町,26.1922,127.7286,,dish,若く柔らかいへちまを、味噌を絡めた豚の三枚肉と炒め煮にする。じっくり火を通すととろりと甘い煮汁が出るのが決め手とされ、鹿児島のへちま汁とは違い、そうめんを使わず具材そのものの甘みを味噌で引き立てる。,"Young, tender loofah is simmered together with pork belly worked in miso. The trick is letting it cook slow enough to release its own sweet, syrupy liquid — unlike Kagoshima's hechima jiru, this version skips the somen and lets miso bring out the loofah's own sweetness instead.",ナーベーラーンブシー 沖縄県｜うちの郷土料理,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/47_16_okinawa.html,農林水産省,2026-09-08
jiimaami-doofu,ジーマーミ豆腐,Jiimaami Doofu,Jiimaami doofu — peanut milk set firm like sesame tofu,沖縄県,,26.2124,127.6809,,dish,落花生の絞り汁と芋くずを練り上げてつくる、ごま豆腐に似た沖縄の料理。強いこしととろけるような口当たりが同居し、高たんぱくで栄養価が高いことから、かつては法事や祝い事の精進料理として重宝されてきた。,"Peanut milk and sweet-potato starch are worked together into something resembling sesame tofu, its strong body and melting texture sitting side by side. High in protein, it was once reserved as a vegetarian dish for memorial services and celebrations, a delicacy of its own.",ジーマーミ豆腐 沖縄県｜うちの郷土料理,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/47_18_okinawa.html,農林水産省,2026-09-08
ashi-tibichi,足ティビチ,Ashi Tibichi,Ashi tibichi — pig's trotters simmered for hours with kelp and daikon,沖縄県,,26.2124,127.6809,,dish,豚足を昆布や大根とともに、骨がすっと抜けるほどやわらかくなるまで長時間煮こむ。「弱った部位と同じ部位を食べる」という以類補類の考え方から、脚に不調のある人や年配者、美容を気づかう人に好まれてきたとされる。,"Pig's trotters are simmered for hours with kelp and daikon until the bone slides free on its own. Rooted in the belief that eating a body part heals the same part in the eater, it's traditionally favored by older people, anyone with trouble in the legs, or those minding their skin.",足ティビチ 沖縄県｜うちの郷土料理,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/47_19_okinawa.html,農林水産省,2026-09-08
nmukuji-puttoruu,ンムクジプットゥルー,Nmukuji Puttoruu,Nmukuji puttoruu — sweet-potato starch worked glossy in a hot pan,沖縄県,,26.2124,127.6809,,dish,さつまいものでんぷんを水で溶いて味噌で味つけし、油をひいたフライパンでのり状になるまで練り炒める。台風の多い沖縄では非常食としても作られてきたといい、砂糖を加えればおやつにもなる素朴な一品。,"Sweet-potato starch is thinned with water, seasoned with miso, and worked in an oiled pan until it turns glossy and paste-like. In typhoon-prone Okinawa it's also served as an emergency food, and swapping in sugar turns the same simple dish into a snack.",ンムクジプットゥルー 沖縄県｜うちの郷土料理,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/47_24_okinawa.html,農林水産省,2026-09-08
