from_slug,to_slug,relation_type
nakami-jiru,mimiga,兄弟
kuubu-irichii,ashi-tibichi,使用食材
inamuduchi,kuuri-jishi,対比
kufa-juushii,yafara-juushii,兄弟
soomin-tashaa,aburazomen,対比
rafutee,ashi-tibichi,兄弟
taanmu-dingaku,kufa-juushii,対比
saataa-andaagii,kaasaa-muuchii,兄弟
kaasaa-muuchii,akumaki,対比
sooki-jiru,soki-soba,対比
gooyaa-chanpuruu,soomin-tashaa,対比
ika-sumi-jiru,mizuikanomadajiru,対比
ninjin-shirishirii,gooyaa-chanpuruu,兄弟
minudaru,jiimaami-doofu,対比
naabeeraa-nbushii,hechimajiru,対比
chimu-shinji,ashi-tibichi,兄弟
jiimaami-doofu,minudaru,対比
ashi-tibichi,chii-irichii,兄弟
mozuku-don,mozuku,使用食材
kuuri-jishi,inamuduchi,対比
nmukuji-puttoruu,karaimonettabo,対比
yafara-juushii,kufa-juushii,兄弟
ushi-jiru,hiijaa-jiru,対比
iiyachi,akumaki,対比
iragimun,naabeeraa-nbushii,兄弟
hiijaa-jiru,ushi-jiru,対比
chii-irichii,ashi-tibichi,兄弟
