item_slug,tag_slug
jako-gouko,soy_sauce
jako-gouko,fermented
osaka-barazushi,egg
osaka-barazushi,ceremonial
kujira-harihari-nabe,soy_sauce
battera,kelp_cured
goyori-mame,soy_sauce
osaka-shiromiso-zoni,miso
osaka-shiromiso-zoni,ceremonial
akaneko,ceremonial
hansuke-dofu,soy_sauce
wakagobo-itameni,soy_sauce
hamokawa-zakuzaku,cold_served
kurumi-mochi,meal_ender
ehomaki,ceremonial
ehomaki,egg
semba-jiru,kelp
osaka-decchi-yokan,meal_ender
renkon-mochi,ceremonial
gaccho-karaage,handheld
odamaki-mushi,egg
odamaki-mushi,ceremonial
dote-yaki,miso
dote-yaki,beef
beni-zuiki-taitan,soy_sauce
osaka-sakura-mochi,meal_ender
osaka-shirona-karashiae,spicy
osaka-shirona-karashiae,soy_sauce
beni-shoga-ten,spicy
beni-shoga-ten,handheld
