from_slug,to_slug,relation_type
jako-gouko,goyori-mame,兄弟
osaka-barazushi,tango-barazushi,対比
kujira-harihari-nabe,semba-jiru,対比
battera,hako-zushi,派生
goyori-mame,jako-gouko,兄弟
osaka-shiromiso-zoni,kyoto-shiromiso-zoni,対比
akaneko,osaka-decchi-yokan,対比
hansuke-dofu,hamokawa-zakuzaku,兄弟
wakagobo-itameni,beni-zuiki-taitan,兄弟
hamokawa-zakuzaku,hansuke-dofu,兄弟
kurumi-mochi,osaka-sakura-mochi,対比
ehomaki,maki-zushi,派生
semba-jiru,kujira-harihari-nabe,対比
osaka-decchi-yokan,decchi-yokan,対比
renkon-mochi,osaka-shiromiso-zoni,対比
gaccho-karaage,hamo-nabe,対比
odamaki-mushi,ehomaki,対比
dote-yaki,hansuke-dofu,兄弟
hamo-nabe,hamo-yakimono,対比
beni-zuiki-taitan,wakagobo-itameni,兄弟
osaka-sakura-mochi,sakura-mochi,対比
osaka-shirona-karashiae,mibuna-karashiae,対比
beni-shoga-ten,gaccho-karaage,対比
