item_slug,tag_slug
funankogui,kelp
funankogui,ceremonial
ika-no-kakeae,miso
saga-dabu,chicken
saga-dabu,ceremonial
noppe-jiru,ceremonial
nigomi,chicken
nigomi,ceremonial
saga-gameni,chicken
saga-gameni,ceremonial
mutsugoro-kabayaki,skewered
yude-dago,handheld
oyogoshi,miso
tsunki-dagojiru,miso
go-dofu,soy_sauce
yukino-tsuyu,miso
saga-kuchizoko-nitsuke,soy_sauce
kuri-okowa,ceremonial
shappa-no-nitsuke,soy_sauce
warasubo-miso-jiru,miso
ara-no-sugatani,soy_sauce
ara-no-sugatani,ceremonial
futsu-mochi,ceremonial
futsu-mochi,handheld
kanzaki-somen,cold_served
