item_slug,tag_slug
saitama-gojiru,miso
hiyajiru,miso
hiyajiru,cold_served
iga-manju,ceremonial
shio-anbin,ceremonial
saitama-katemeshi,ceremonial
saitama-katemeshi,soy_sauce
zerii-furai,handheld
zerii-furai,street_food
zerii-furai,chinese_derived
saitama-neginuta,miso
saitama-neginuta,ceremonial
saitama-neginuta,meal_ender
miso-poteto,miso
miso-poteto,street_food
kuri-no-shibukawani,ceremonial
tsumikko,soy_sauce
saitama-konnyaku-miso-oden,miso
saitama-konnyaku-miso-oden,skewered
ude-manju,ceremonial
saitama-sumitsukare,soy_sauce
saitama-sumitsukare,ceremonial
iimochi,soy_sauce
iimochi,handheld
yatsugashira-no-kuki-no-itameni,soy_sauce
tsutokko,ceremonial
tsutokko,handheld
oname,fermented
dojo-ni,soy_sauce
kuwai-no-fukumeni,ceremonial
komugi-manju,ceremonial
shoten-zushi,ceremonial
shoten-zushi,souvenir_non_confection
