from_slug,to_slug,relation_type
saitama-udon,kazo,兄弟
saitama-udon,nibouto,兄弟
saitama-gojiru,gunma-gojiru,対比
hiyajiru,saitama-udon,兄弟
iga-manju,shio-anbin,兄弟
shio-anbin,iga-manju,兄弟
saitama-katemeshi,gunma-katemeshi,対比
zerii-furai,gyoda-furai,兄弟
saitama-neginuta,gunma-neginuta,対比
neji,tsumikko,兄弟
miso-poteto,tarashi-yaki,兄弟
kanrobai,kuri-no-shibukawani,兄弟
kuri-no-shibukawani,kanrobai,兄弟
tsumikko,neji,兄弟
tsumikko,gunma-suiton,対比
saitama-konnyaku-miso-oden,gunma-konnyaku-miso-oden,対比
ude-manju,komugi-manju,兄弟
saitama-sumitsukare,gunma-sumitsukare,対比
iimochi,gunma-yakimochi,対比
yatsugashira-no-kuki-no-itameni,kuwai-no-fukumeni,兄弟
tsutokko,iga-manju,兄弟
oname,saitama-gojiru,使用食材
dojo-ni,namazu-no-tempura,対比
kuwai-no-fukumeni,yatsugashira-no-kuki-no-itameni,兄弟
komugi-manju,ude-manju,兄弟
shoten-zushi,iga-manju,兄弟
