item_slug,tag_slug
isaza-mame,soy_sauce
isaza-mame,ceremonial
gori-no-tsukudani,soy_sauce
gori-no-tsukudani,souvenir_non_confection
shiga-itokoni,ceremonial
shiga-itokoni,soy_sauce
amenoio-gohan,soy_sauce
koayu-no-sansho-ni,soy_sauce
junjun,beef
junjun,soy_sauce
aka-konnyaku-ni,soy_sauce
aka-konnyaku-ni,ceremonial
shijimi-jiru,miso
ebimame,soy_sauce
ebimame,ceremonial
saba-somen,soy_sauce
saba-somen,ceremonial
choji-fu-no-karashi-ae,miso
uchimame-jiru,miso
uchimame-jiru,ceremonial
kogyo-no-tempura,egg
saba-no-bozushi,ceremonial
zeitaku-ni,fermented
zeitaku-ni,soy_sauce
shiga-tofu-dengaku,miso
shiga-tofu-dengaku,ceremonial
shiga-tofu-dengaku,skewered
dongame-jiru,miso
oae-dango,ceremonial
omi-gyu-no-misozuke,beef
omi-gyu-no-misozuke,miso
omi-gyu-no-misozuke,fermented
kurumi-gobo,ceremonial
shoi-meshi,soy_sauce
shoi-meshi,ceremonial
hasu-gyoden,miso
hasu-gyoden,skewered
hitokawa-zushi,ceremonial
biwamasu-sashimi,cold_served
yaki-moroko-no-dorozu,miso
yaki-moroko-no-dorozu,skewered
