from_slug,to_slug,relation_type
isaza-mame,funa-zushi,対比
gori-no-tsukudani,isaza-mame,兄弟
shiga-itokoni,itokoni,対比
amenoio-gohan,biwamasu-sashimi,兄弟
koayu-no-sansho-ni,gori-no-tsukudani,兄弟
shiga-decchi-yokan,decchi-yokan,対比
junjun,omi-gyu,使用食材
aka-konnyaku-ni,junjun,使用食材
shijimi-jiru,funa-zushi,対比
ebimame,isaza-mame,兄弟
saba-somen,saba-no-bozushi,兄弟
choji-fu-no-karashi-ae,junjun,使用食材
uchimame-jiru,shiga-itokoni,対比
kogyo-no-tempura,tempura,対比
kofuku-mame,oae-dango,兄弟
saba-no-bozushi,saba-somen,兄弟
zeitaku-ni,furu-takuan-no-nimono,対比
shiga-tofu-dengaku,tofu-dengaku,対比
dongame-jiru,uchimame-jiru,対比
oae-dango,kofuku-mame,兄弟
omi-gyu-no-misozuke,omi-gyu,使用食材
kurumi-gobo,shoi-meshi,対比
shoi-meshi,kurumi-gobo,対比
hasu-gyoden,yaki-moroko-no-dorozu,対比
hitokawa-zushi,funa-zushi,対比
biwamasu-sashimi,amenoio-gohan,兄弟
yaki-moroko-no-dorozu,hasu-gyoden,対比
