item_slug,tag_slug
hoshi-daikon-no-nishime,soy_sauce
kakuzushi,ceremonial
uzume-meshi,ceremonial
azuki-zoni,ceremonial
takenoko-sansho-ni,soy_sauce
shimane-kaki-namasu,ceremonial
bakudan-onigiri,soy_sauce
bakudan-onigiri,handheld
kujira-gohan,ceremonial
unagi-dofu,soy_sauce
suzuki-no-hosho-yaki,ceremonial
koi-no-itozukuri,ceremonial
akagai-garan-mushi,ceremonial
agonoko-umani,soy_sauce
dojo-kenchin-jiru,soy_sauce
fukinoto-miso,miso
shimane-sazae-meshi,ceremonial
shimane-kashiwa-mochi,ceremonial
shimane-shijimi-jiru,miso
heka,soy_sauce
sumashi-zoni,ceremonial
shimane-sasamaki,ceremonial
