from_slug,to_slug,relation_type
kuro-hanpen-fry,kuro-hanpen,使用食材
gawa,katsuo,使用食材
tororo-jiru,abekawa-mochi,兄弟
iruka-no-misoni,mago-chazuke,兄弟
someii,kiinai-okowa,兄弟
saba-hako-zushi,aichi-hakozushi,対比
bokumeshi,unagi,使用食材
gennari-zushi,saba-hako-zushi,兄弟
tokoroten,tamago-kanten,対比
oki-agari,sakura-ebi,使用食材
ozaku,togan-jiru,対比
shizuoka-kinzanji-miso,kinzanji-miso,対比
shizuoka-oden,oden,対比
kinme-no-nitsuke,kinmedai,使用食材
abekawa-mochi,tororo-jiru,兄弟
kiriboshi-imo,hoshiimo,対比
takenoko-no-arame-ni,arame-rakkasei-nitsuke,兄弟
rakkasei-namasu,yude-rakkasei,対比
orido-nasu-dengaku,miso-dengaku,兄弟
mago-chazuke,gawa,兄弟
namaribushi-tamanegi-salad,katsuo,使用食材
tamago-fuwafuwa,abekawa-mochi,兄弟
heso-mochi,abekawa-mochi,対比
sakura-ebi-kakiage,sakura-ebi,使用食材
