from_slug,to_slug,relation_type
tochigi-shimotsukare,ibaraki-shimotsukare,兄弟
kanpyo-no-tamago-toji,kanpyo-inari-zushi,使用食材
imogushi,nishime,対比
saganbo-no-nitsuke,moro-no-nitsuke,兄弟
bandai-mochi,yakimochi,対比
komugi-manju,kusamochi,対比
moro-no-nitsuke,saganbo-no-nitsuke,兄弟
kanpyo-no-gomazu-ae,kanpyo-no-tamago-toji,使用食材
yuzu-maki,yuzudaikon,対比
gomoku-meshi,kanpyo-no-tamago-toji,使用食材
kanpyo-inari-zushi,inari-zushi,対比
aiso-no-kanroni,ayu-meshi,兄弟
agemaki-yuba-no-nimono,koi-no-karaage,対比
battou-jiru,komugi-manju,使用食材
kanpyo-norimaki-zushi,maki-zushi,対比
kanpyo-norimaki-zushi,kanpyo-inari-zushi,使用食材
nishime,imogushi,対比
nishin-to-takenoko-no-nitsuke,moro-no-nitsuke,兄弟
tochigi-botamochi,mitsumenobotamochi,対比
ayu-meshi,aiso-no-kanroni,兄弟
ebi-daikon,kiriboshi-daikon-no-nimono,使用食材
kusamochi,komugi-manju,対比
shira-ae,nishime,使用食材
chitake-to-nasu-no-abura-itame,chitake-udon,対比
nasu-to-ingen-no-abura-miso,chitake-to-nasu-no-abura-itame,対比
dojou-jiru,battou-jiru,対比
yakimochi,bandai-mochi,対比
kiriboshi-daikon-no-nimono,ebi-daikon,使用食材
