item_slug,tag_slug
kintoki-mame-barazushi,ceremonial
uchigae-zoni,ceremonial
uchigae-zoni,soy_sauce
narae,ceremonial
tokushima-yubeshi,soy_sauce
tokushima-yubeshi,souvenir_non_confection
omiisan,miso
denbu,soy_sauce
denbu,ceremonial
ise-ebi-no-misoshiru,miso
tokushima-imomochi,ceremonial
tokushima-imomochi,handheld
tokushima-shima-somen,ceremonial
tokushima-shiromiso-zoni,miso
tokushima-shiromiso-zoni,ceremonial
ayu-rousui,miso
amego-no-hirarayaki,miso
iya-no-decomawashi,miso
iya-no-decomawashi,skewered
shusse-imo,ceremonial
awa-uiro,ceremonial
tokushima-han-goroshi,handheld
