from_slug,to_slug,relation_type
sobagome-zosui,iya,兄弟
iri-meshi,tokushima-shima-somen,対比
kintoki-mame-barazushi,kagawa-barazushi,対比
uchigae-zoni,iya,兄弟
narae,zukigashi,兄弟
tokushima-yubeshi,yuzukan,兄弟
omiisan,sobagome-zosui,兄弟
chagome,awa-no-itokoni,兄弟
denbu,kintoki-mame-barazushi,兄弟
yuzukan,tokushima-yubeshi,兄弟
ise-ebi-no-misoshiru,ebi-miso-shiru,対比
tokushima-imomochi,hokkaido-imomochi,対比
tokushima-shima-somen,handa-somen,兄弟
awa-no-itokoni,chagome,兄弟
tokushima-taimeshi,ayu-rousui,対比
tokushima-shiromiso-zoni,uchigae-zoni,対比
tsutsumi-meshi,sobagome-zosui,派生
zukigashi,narae,兄弟
ayu-rousui,sobagome-zosui,兄弟
amego-no-hirarayaki,iya,兄弟
hota-yokan,awa-uiro,兄弟
iya-no-decomawashi,iya,使用食材
hasuimo-no-kuki-no-sunomono,zukigashi,対比
shusse-imo,tokushima-imomochi,兄弟
awa-uiro,hota-yokan,兄弟
tokushima-han-goroshi,shusse-imo,対比
