from_slug,to_slug,relation_type
yanagawa-nabe,dojou-jiru,対比
edo-zoni,kurumi-zoni,対比
shokkara-jiru,edo-zoni,対比
tamagoyaki,kanpyo-maki,兄弟
kanpyo-maki,kanpyo,使用食材
jisuke-imo-negi-miso,okutama-wasabi-tokyo-x-maki,兄弟
okutama-wasabi-tokyo-x-maki,tokyo-x,使用食材
anago-zushi,edomae-zushi,兄弟
shima-zushi,edomae-zushi,対比
edo-soba,jindaiji,対比
kohada-no-awazuke,kohada,使用食材
sakura-mochi,imo-youkan,対比
imo-youkan,sakura-mochi,対比
tsukudani,choshi-shoyu,使用食材
negima-nabe,negima,源流
kinpira,joshu-kinpira,対比
chanko-nabe,sukiyaki,対比
kushi-dango,sakura-mochi,対比
udo-no-sumiso-ae,kinpira,対比
