item_slug,tag_slug
hotaruika-no-sumisoae,miso
tarajiru,miso
toyama-buridaikon,soy_sauce
toyama-buridaikon,ceremonial
itokoni,miso
itokoni,ceremonial
tororo-konbu-onigiri,kelp
tororo-konbu-onigiri,handheld
osezushi,ceremonial
toyama-konbumaki,kelp
toyama-konbumaki,soy_sauce
toyama-konbumaki,ceremonial
kuromame-okowa,ceremonial
toyama-kobujime,kelp_cured
kurozukuri,fermented
kurozukuri,offal
yogoshi,miso
yogoshi,ceremonial
osuwai,soy_sauce
osuwai,ceremonial
bai-no-nimono,soy_sauce
bai-no-nimono,ceremonial
yakitsuke,miso
ika-to-satoimo-no-nimono,soy_sauce
takenoko-no-misoni,miso
hoonko-ryori,ceremonial
toyama-zoni,ceremonial
myoga-zushi,ceremonial
shiroebi-somen,cold_served
genge-no-misoshiru,miso
mikka-no-dangojiru,miso
mikka-no-dangojiru,ceremonial
tsuboni,ceremonial
bekko,egg
bekko,ceremonial
